;form;lemmi;postag;conteggio_lemmi;conteggio_postag
14042;ὑπάρχουσαν;['ὑπάρχω'];['v-sppafa-'];1;1
14043;συνεισηνέγκατο;['συνεισφέρω'];['v3saim---'];1;1
14044;ἅπασι;['ἅπας'];['a-p---md-', 'a-p---nd-'];1;2
14045;γνωρίσματα;['γνώρισμα'];['n-p---na-', 'n-p---nn-'];1;2
14046;ἀρετῶν;['ἀρετή'];['n-p---fg-'];1;1
14047;διελθεῖν;['διέρχομαι'];['v--ana---'];1;1
14048;ἐπιτιθέντα;['ἐπιτίθημι'];['v-sppama-'];1;1
14049;ὁρμώμενος;['ὁρμάω'];['v-sfpmmn-', 'v-sppemn-'];1;2
14050;κάλλιστα;['καλός', 'καλός'];['a-p---nac', 'a-p---nas', 'a-p---nn-', 'd-------s'];2;4
14051;ἔδρασας;['δράω'];['v2saia---'];1;1
14052;ἐβουλεύσω;['βουλεύω'];['v2saim---'];1;1
14053;διοίσειν;['διαφέρω'];['v--fna---'];1;1
14054;ἵστανται;['ἵστημι'];['v3ppie---'];1;1
14055;ἀποχρῆν;['ἀποχράω'];['v--pna---'];1;1
14056;οἰόμενοι;['οἴομαι'];['v-pppemn-'];1;1
14057;κατορθωμάτων;['κατόρθωμα'];['n-p---ng-'];1;1
14058;κατωλιγώρησαν;['κατολιγωρέω'];['v3paia---'];1;1
14059;ξυγγραφήν;['συγγραφή'];['n-s---fa-'];1;1
14060;κεχαρισμένην;['χαρίζομαι'];['v-srpefa-'];1;1
14061;θέατρα;['θέατρον'];['n-p---na-'];1;1
14062;παντοδαπά;['παντοδαπός'];['a-p---na-'];1;1
14063;τολμῶσαν;['τολμάω'];['v-sppafa-'];1;1
14064;ἀποδύεσθαι;['ἀποδύω'];['v--pne---'];1;1
14065;ἔχοιεν;['ἔχω'];['v3ppoa---'];1;1
14066;εἰκότως;['εἰκότως'];['d--------'];1;1
14067;εὐλαβεστέρως;['εὐλαβής'];['d--------'];1;1
14068;πλεῖστα;['πλεῖστος', 'πολύς', 'πολύς'];['a-p---na-', 'a-p---nas', 'a-p---nns'];3;3
14069;δορυφόροι;['δορυφόρος'];['n-p---mn-'];1;1
14070;στρατιωτῶν;['στρατιώτης'];['n-p---mg-'];1;1
14071;φάλαγγες;['φάλαγξ'];['n-p---fn-'];1;1
14072;τάξεις;['τάξις'];['n-p---fn-'];1;1
14073;ἱππέων;['ἱππεύς'];['n-p---mg-'];1;1
14074;συγκατορθοῦσι;['συγκατορθόω'];['v3ppia---'];1;1
14075;δράσαντος;['δράω'];['v-sapamg-'];1;1
14076;ἔπαινος;['ἔπαινος'];['n-s---mn-'];1;1
14077;ἀληθής;['ἀληθής'];['a-s---mn-'];1;1
14078;κεκτημένου;['κτάομαι'];['v-srpemg-'];1;1
14079;ταῦθʼ;['οὗτος'];['p-p---nn-'];1;1
14080;διώρισται;['διορίζω'];['v3srie---'];1;1
14081;ἄρξομαι;['ἄρχω'];['v1sfim---'];1;1
14082;ἔλαττον;['ἐλάσσων', 'ἐλαχύς'];['a-s---nac'];2;1
14083;ἀξιοῖ;['ἀξιόω'];['v3spia---'];1;1
14084;ὑπολαβεῖν;['ὑπολαμβάνω'];['v--ana---'];1;1
14085;μυρία;['μυρίος'];['a-p---nn-'];1;1
14086;ἀμφισβητεῖ;['ἀμφισβητέω'];['v3spia---'];1;1
14087;βασιλεύουσα;['βασιλεύω'];['v-sppafn-'];1;1
14088;σή;['σός'];['a-s---fn-'];1;1
14089;τροφός;['τροφός'];['n-s---fn-'];1;1
14090;ἀγαθῆς;['ἀγαθός'];['a-s---fg-'];1;1
14091;παρασχοῦσα;['παρέχω'];['v-sapafn-'];1;1
14092;γέρας;['γέρας'];['n-s---na-'];1;1
14093;κοινοῖς;['κοινός'];['a-p---nd-'];1;1
14094;αὐτοκρατόρων;['αὐτοκράτωρ'];['n-p---mg-'];1;1
14095;χρωμένη;['χράομαι', 'χράω'];['v-sppefn-'];2;1
14096;ἀλλαχόθεν;['ἀλλαχόθεν'];['d--------'];1;1
14097;τυγχάνωσι;['τυγχάνω'];['v3ppsa---'];1;1
14098;πολιτεύματος;['πολίτευμα'];['n-s---ng-'];1;1
14099;καταδειχθεῖσιν;['καταδείκνυμι'];['v-pappnd-'];1;1
14100;ἔθεσι;['ἔθος'];['n-p---nd-'];1;1
14101;τεκοῦσα;['τίκτω'];['v-sapafn-'];1;1
14102;θρεψαμένη;['τρέφω'];['v-sapmfn-'];1;1
14103;βασιλικῶς;['βασιλικός', 'βασιλικῶς'];['d--------', 'd-------p'];2;2
14104;ἐσομένων;['εἰμί'];['v-pfpmng-'];1;1
14105;ἐκγόνων;['ἔκγονος'];['a-p---ng-'];1;1
14106;ἀξίως;['ἀξίως'];['d--------'];1;1
14107;Βοσπόρῳ;['Βόσπορος'];['n-s---md-'];1;1
14108;Κωνσταντίων;['Κωνστάντιος'];['n-p---mg-'];1;1
14109;ἐπώνυμος;['ἐπώνυμος'];['a-s---fn-'];1;1
14110;ὁμολογεῖ;['ὁμολογέω'];['v3spia---'];1;1
14111;δεινά;['δεινός'];['a-p---na-'];1;1
14112;οἰήσεται;['οἴομαι'];['v3sfim---'];1;1
14113;ἀφαιροῖτο;['ἀφαιρέω'];['v3spoe---'];1;1
14114;Ἰλλυριοί;['Ἰλλυριοί'];['n-p---mn-'];1;1
14115;γέγονας;['γίγνομαι', 'γίνομαι'];['v2sria---'];2;1
14116;ἀνέξονται;['ἀνέχω'];['v3pfim---'];1;1
14117;καλλίστου;['καλός'];['a-s---ngs'];1;1
14118;εὐτυχημάτων;['εὐτύχημα'];['n-p---ng-'];1;1
14119;στερόμενοι;['στέρομαι'];['v-pppemn-'];1;1
14120;προσνέμοι;['προσνέμω'];['v3spoa---'];1;1
14121;τοῦθʼ;['οὗτος'];['p-s---nn-'];1;1
14122;ποιηταῖς;['ποιητής'];['n-p---md-'];1;1
14123;Μοῦσαι;['Μοῦσαι'];['n-p---fn-'];1;1
14124;ἐπιπνεομένους;['ἐπιπνέω'];['v-pppema-'];1;1
14125;ἄφθονον;['ἄφθονος'];['a-s---fa-'];1;1
14126;πλάσματος;['πλάσμα'];['n-s---ng-'];1;1
14127;ἑῴων;['ἑῷος'];['a-p---mg-'];1;1
14128;ἀφαιρούμενοι;['ἀφαιρέω'];['v-pppemn-'];1;1
14129;σφᾶς;['σφεῖς'];['p-p---ca-', 'p3p---ca-'];1;2
14130;φασι;['φημί'];['v3ppia---'];1;1
14131;τήθην;['τήθη'];['n-s---fa-'];1;1
14132;μητροπάτορος;['μητροπάτωρ'];['n-s---mg-'];1;1
14133;προπέμψαι;['προπέμπω'];['v--ana---'];1;1
14134;λοιποί;['λοιπός'];['a-p---mn-'];1;1
14135;ἐπινοοῦντες;['ἐπινοέω'];['v-pppamn-'];1;1
14136;μικράς;['μικρός'];['a-p---fa-'];1;1
14137;εἰσποιεῖν;['εἰσποιέω'];['v--pna---'];1;1
14138;ἐγνώκασιν;['γιγνώσκω'];['v3pria---'];1;1
14139;ἐθέλεις;['ἐθέλω'];['v2spia---'];1;1
14140;ἐπαινῶν;['ἐπαινέω'];['v-sppamn-'];1;1
14141;τυγχανόντων;['τυγχάνω'];['v3ppma---'];1;1
14142;ἐθέλοιμʼ;['ἐθέλω'];['v1spoa---'];1;1
14143;ὀκνῶ;['ὀκνέω'];['v1spia---'];1;1
14144;ἀφήσειν;['ἀφίημι'];['v--fna---'];1;1
14145;Ῥώμης;['Ῥώμη'];['n-s---fg-'];1;1
14146;κεφάλαιον;['κεφάλαιον', 'κεφάλαιος'];['a-s---na-', 'a-s---nn-', 'n-s---na-'];2;3
14147;προσειπών;['προσεῖπον'];['v-sapamn-'];1;1
14148;ἐγκωμίων;['ἐγκώμιος'];['a-p---ng-'];1;1
14149;ἀφῄρησαι;['ἀφαιρέω'];['v2srie---'];1;1
14150;λέξομεν;['λέγω'];['v1pfia---'];1;1
14151;σεβόμενος;['σέβομαι'];['v-sppemn-'];1;1
14152;ῥήτορσι;['ῥήτωρ'];['n-p---md-'];1;1
14153;τέχνη;['τέχνη'];['n-s---fn-'];1;1
14154;παρέσχεν;['παρέχω'];['v3saia---'];1;1
14155;πλάττειν;['πλάσσω'];['v--pna---'];1;1
14156;ἀπαγορεύσασα;['ἀπαγορεύω'];['v-sapafn-'];1;1
14157;αἰσχύνην;['αἰσχύνη'];['n-s---fa-'];1;1
14158;ὁμολογουμένην;['ὁμολογέω'];['v-sppefa-'];1;1
14159;ψευδῶς;['ψευδής'];['d--------'];1;1
14160;ἐπαίνου;['ἔπαινος'];['n-s---mg-'];1;1
14161;κρίνασα;['κρίνω'];['v-sapafn-'];1;1
14162;καινόν;['καινός'];['a-s---ma-', 'a-s---na-'];1;2
14163;ἐπινοηθέντα;['ἐπινοέω'];['v-sappma-'];1;1
14164;φέρωσιν;['φέρω'];['v3ppsa---'];1;1
14165;ξυνθέντες;['συντίθημι'];['v-papamn-'];1;1
14166;ξένῳ;['ξένος', 'ξένος2'];['a-s---md-', 'a-s---nd-'];2;2
14167;ἀκούοντας;['ἀκούω'];['v-pppama-'];1;1
14168;ψυχαγωγήσαντες;['ψυχαγωγέω'];['v-papamn-'];1;1
14169;θαυμάζονται;['θαυμάζω'];['v3ppie---'];1;1
14170;ἀπολαῦσαι;['ἀπολαύω'];['v--ana---'];1;1
14171;μειζόνως;['μέγας'];['d--------'];1;1
14172;ἀφελεῖν;['ἀφαιρέω'];['v--ana---'];1;1
14173;ἀντιτάττειν;['ἀντιτάσσω'];['v--pna---'];1;1
14174;ἦγον;['ἄγω'];['v1siia---', 'v3piia---'];1;2
14175;ἀμελετήτως;['ἀμελετήτως'];['d--------'];1;1
14176;παραχωρῶν;['παραχωρέω'];['v-sppamn-'];1;1
14177;μικρῷ;['μικρός'];['a-s---nd-'];1;1
14178;ἐμνήσθην;['μιμνήσκω'];['v1saip---'];1;1
14179;τοὐναντίον;['ἐναντίον', 'ἐναντίος'];['a-s---na-', 'd--------'];2;2
14180;ἀπαιτεῖ;['ἀπαιτέω'];['v3spia---'];1;1
14181;διήγησιν;['διήγησις'];['n-s---fa-'];1;1
14182;ἐπεισάκτου;['ἐπείσακτος'];['a-s---mg-'];1;1
14183;δεομένην;['δέω'];['v-sppefa-'];1;1
14184;κἀμοί;['κἀγώ'];['p-s----d-'];1;1
14185;ἀνεφίκτου;['ἀνέφικτος'];['a-s---ng-'];1;1
14186;προλαβοῦσιν;['προλαμβάνω'];['v-papamd-'];1;1
14187;Λέσβου;['Λέσβος'];['n-s---fg-'];1;1
14188;Μυτιλήνη;['Μυτιλήνη'];['n-s---fn-'];1;1
14189;διείληπται;['διαλαμβάνω'];['v3srie---'];1;1
14190;εὐρίποις;['εὔριπος'];['n-p---md-'];1;1
14191;ὑπεισρεούσης;['ὑπεισρέω'];['v-sppafg-'];1;1
14192;κεκόσμηται;['κοσμέω'];['v3srie---'];1;1
14193;γεφύραις;['γέφυρα'];['n-p---fd-'];1;1
14194;ξεστοῦ;['ξεστός'];['a-s---mg-'];1;1
14195;λευκοῦ;['λευκός'];['a-s---mg-'];1;1
14196;διαδρομάς;['διαδρομή'];['n-p---fa-'];1;1
14197;Λάμων;['Λάμων', 'Λάμων'];['n-s---mn-'];2;1
14198;ἀμελούμενον;['ἀμελέω'];['v-sppema-'];1;1
14199;ἀκμαζούσης;['ἀκμάζω'];['v-sppafg-'];1;1
14200;ἴχνος;['ἴχνος'];['n-s---na-'];1;1
14201;ὁρᾷ;['ὁράω'];['v3spia---'];1;1
14202;περιβεβηκυῖαν;['περιβαίνω'];['v-srpafa-'];1;1
14203;βρέφος;['βρέφος'];['n-s---na-', 'n-s---nn-'];1;2
14204;χηλαῖς;['χηλή'];['n-p---fd-'];1;1
14205;βλάπτοι;['βλάπτω'];['v3spoa---'];1;1
14206;πατοῦσα;['πατέω'];['v-sppafn-'];1;1
14207;μητρῴας;['μητρῷος'];['a-s---fg-'];1;1
14208;θηλῆς;['θηλή'];['n-s---fg-'];1;1
14209;ἐπιρροήν;['ἐπιρροή'];['n-s---fa-'];1;1
14210;ἕλκον;['ἕλκω'];['v-sppana-'];1;1
14211;γάλακτος;['γάλα'];['n-s---ng-'];1;1
14212;πρόσεισιν;['πρόσειμι'];['v3ppia---', 'v3spia---'];1;2
14213;εὑρίσκει;['εὑρίσκω'];['v3spia---'];1;1
14214;ἔκθεσιν;['ἔκθεσις'];['n-s---fa-'];1;1
14215;σπαργάνοις;['σπάργανον'];['n-p---nd-'];1;1
14216;κρείττοσι;['κρείττων'];['a-p---mdc', 'a-p---ndc'];1;2
14217;χλαμύδιον;['χλαμύδιον'];['n-s---nn-'];1;1
14218;ἁλουργές;['ἁλουργής'];['a-s---nn-'];1;1
14219;πόρπη;['πόρπη'];['n-s---fn-'];1;1
14220;χρυσῆ;['χρυσοῦς', 'χρύσεος'];['a-s---fn-'];2;1
14221;ξιφίδιον;['ξιφίδιον'];['n-s---na-', 'n-s---nn-'];1;2
14222;ἐλεφαντόκωπον;['ἐλεφαντόκωπος'];['a-s---nn-'];1;1
14223;βαστάσας;['βαστάζω'];['v-sapamn-'];1;1
14224;βρέφους;['βρέφος'];['n-s---ng-'];1;1
14225;αἰδεσθείς;['αἰδέομαι'];['v-sappmn-'];1;1
14226;αἰγός;['αἴξ'];['n-s---fg-'];1;1
14227;μιμήσεται;['μιμέομαι'];['v3sfim---'];1;1
14228;κομίζει;['κομίζω'];['v3spia---'];1;1
14229;Μυρτάλην;['Μυρτάλη'];['n-s---fa-'];1;1
14230;ἐκπλαγείσης;['ἐκπλήσσω'];['v-sappfg-'];1;1
14231;τίκτουσιν;['τίκτω'];['v3ppia---'];1;1
14232;αἶγες;['αἴξ'];['n-p---fn-'];1;1
14233;διηγεῖται;['διηγέομαι'];['v3spie---'];1;1
14234;ἐκκείμενον;['ἔκκειμαι'];['v-sppema-'];1;1
14235;τρεφόμενον;['τρέφω'];['v-sppema-', 'v-sppena-'];1;2
14236;ᾐδέσθη;['αἰδέομαι'];['v3saip---'];1;1
14237;καταλιπεῖν;['καταλείπω'];['v--ana---'];1;1
14238;κἀκείνῃ;['ἐκεῖνος'];['p-s---fd-'];1;1
14239;συνεκτεθέντα;['συνεκτίθημι'];['v-pappna-'];1;1
14240;κρύπτουσι;['κρύπτω'];['v3ppia---'];1;1
14241;νομίζουσι;['νομίζω'];['v3ppia---'];1;1
14242;αἰγί;['αἴξ'];['n-s---fd-'];1;1
14243;ἐπιτρέπουσιν;['ἐπιτρέπω'];['v3ppia---'];1;1
14244;ποιμενικόν;['ποιμενικός'];['a-s---na-', 'a-s---nn-'];1;2
14245;Δάφνιν;['Δάφνις'];['n-s---ma-'];1;1
14246;καλεῖν;['καλέω'];['v--fna---', 'v--pna---'];1;2
14247;διετοῦς;['διετής'];['a-s---mg-'];1;1
14248;διικνουμένου;['διϊκνέομαι'];['v-sppemg-'];1;1
14249;ὁμόρων;['ὅμορος'];['a-p---mg-'];1;1
14250;νέμων;['νέμω'];['v-sppamn-'];1;1
14251;Δρύας;['Δρύας'];['n-s---mn-'];1;1
14252;ὁμοίοις;['ὅμοιος'];['a-p---nd-'];1;1
14253;ἐπιτυγχάνει;['ἐπιτυγχάνω'];['v3spia---'];1;1
14254;εὑρήμασι;['εὕρημα'];['n-p---nd-'];1;1
14255;θέαμασι;['θέαμα'];['n-p---nd-'];1;1
14256;Νυμφῶν;['Νύμφη'];['n-p---fg-'];1;1
14257;ἄντρον;['ἄντρον'];['n-s---nn-'];1;1
14258;πέτρα;['πέτρα'];['n-s---fn-'];1;1
14259;ἔνδοθεν;['ἔνδοθεν'];['d--------'];1;1
14260;περιφερής;['περιφερής'];['a-s---fn-'];1;1
14261;νομίσειας;['νομίζω'];['v2saoa---'];1;1
14262;νῆσον;['νῆσος'];['n-s---fa-'];1;1
14263;ἀγάλματα;['ἄγαλμα'];['n-p---na-', 'n-p---nn-'];1;2
14264;λίθοις;['λίθος'];['n-p---md-'];1;1
14265;ἐπεποίητο;['ποιέω'];['v3slie---'];1;1
14266;πόδες;['πούς'];['n-p---mn-'];1;1
14267;ἀνυπόδητοι;['ἀνυπόδητος'];['a-p---mn-'];1;1
14268;γυμναί;['γυμνός'];['a-p---fn-'];1;1
14269;κόμαι;['κόμη'];['n-p---fn-'];1;1
14270;αὐχένων;['αὐχήν'];['n-p---mg-'];1;1
14271;λελυμέναι;['λύω'];['v-prpefn-'];1;1
14272;ζῶμα;['ζῶμα'];['n-s---nn-'];1;1
14273;ἰξύν;['ἰξύς'];['n-s---fa-'];1;1
14274;μειδίαμα;['μειδίαμα'];['n-s---nn-'];1;1
14275;ὀφρύν;['ὀφρύς'];['n-s---fa-'];1;1
14276;χορεία;['χορεία'];['n-d---fn-'];1;1
14277;ὀρχουμένων;['ὀρχέομαι'];['v-sppemg-'];1;1
14278;ὤα;['ᾤα'];['n-s---fn-'];1;1
14279;ἄντρου;['ἄντρον'];['n-s---ng-'];1;1
14280;πέτρας;['πέτρα'];['n-s---fg-'];1;1
14281;μεσαίτατον;['μέσος'];['a-s---nns'];1;1
14282;ἑκ;['ἑκ'];['r--------'];1;1
14283;ἀναβλύζον;['ἀναβλύζω'];['v-sppann-'];1;1
14284;ῥεῖθρον;['ῥεῖθρον'];['n-s---na-'];1;1
14285;χεόμενον;['χέω'];['v-sppena-'];1;1
14286;λειμών;['λειμών'];['n-s---mn-'];1;1
14287;γλαφυρός;['γλαφυρός'];['a-s---mn-'];1;1
14288;ἐξετέτατο;['ἐκτείνω'];['v3slie---'];1;1
14289;μαλθακῆς;['μαλθακός'];['a-s---fg-'];1;1
14290;πόας;['πόα'];['n-s---fg-'];1;1
14291;νοτίδος;['νοτίς'];['n-s---fg-'];1;1
14292;τρεφομένης;['τρέφω'];['v-sppefg-'];1;1
14293;ἀνέκειντο;['ἀνάκειμαι'];['v3piie---'];1;1
14294;γαυλοί;['γαυλός'];['n-p---mn-'];1;1
14295;αὐλοί;['αὐλός'];['n-p---mn-'];1;1
14296;πλάγιοι;['πλάγιος'];['a-p---mn-'];1;1
14297;σύριγγες;['σῦριγξ'];['n-p---fn-'];1;1
14298;κάλαμοι;['κάλαμος'];['n-p---mn-'];1;1
14299;πρεσβυτέρων;['πρέσβυς', 'πρεσβύτερος'];['a-p---mg-'];2;1
14300;ἀναθήματα;['ἀνάθημα'];['n-p---na-', 'n-p---nn-'];1;2
14301;νυμφαῖον;['νυμφαῖος'];['a-s---na-'];1;1
14302;οἶς;['ὄις'];['n-p---fn-'];1;1
14303;ἀρτιτόκος;['ἀρτίτοκος'];['a-s---fn-'];1;1
14304;συχνά;['συχνός'];['d--------'];1;1
14305;φοιτῶσα;['φοιτάω'];['v-sppafn-'];1;1
14306;ἀπωλείας;['ἀπώλεια'];['n-p---fa-', 'n-s---fg-'];1;2
14307;παρεῖχε;['παρέχω'];['v3siia---'];1;1
14308;κολάσαι;['κολάζω'];['v--ana---'];1;1
14309;εὐνομίαν;['εὐνομία'];['n-s---fa-'];1;1
14310;δεσμόν;['δεσμός'];['n-s---ma-'];1;1
14311;ῥάβδου;['ῥάβδος'];['n-s---fg-'];1;1
14312;χλωρᾶς;['χλωρός'];['a-s---fg-'];1;1
14313;λυγίσας;['λυγίζω'];['v-sapamn-'];1;1
14314;βρόχῳ;['βρόχος'];['n-s---md-'];1;1
14315;πέτρᾳ;['πέτρα'];['n-s---fd-'];1;1
14316;προσῆλθεν;['προσέρχομαι'];['v3saia---'];1;1
14317;συλληψόμενος;['συλλαμβάνω'];['v-sfpmmn-'];1;1
14318;διδοῦσαν;['δίδωμι'];['v-sppafa-'];1;1
14319;ἀνθρωπίνως;['ἀνθρώπινος'];['d--------'];1;1
14320;θηλήν;['θηλή'];['n-s---fa-'];1;1
14321;ὁλκήν;['ὁλκή'];['n-s---fa-'];1;1
14322;ἀκλαυτί;['ἀκλαυτί'];['d--------'];1;1
14323;λάβρως;['λάβρος'];['d--------'];1;1
14324;ἀμφοτέρας;['ἀμφότεροι', 'ἀμφότερος'];['a-p---fa-'];2;1
14325;θηλάς;['θηλή'];['n-p---fa-'];1;1
14326;μεταφέρον;['μεταφέρω'];['v-sppana-'];1;1
14327;καθαρόν;['καθαρός'];['a-s---na-'];1;1
14328;φαιδρόν;['φαιδρός'];['a-s---na-'];1;1
14329;οἰός;['ὄις'];['n-s---fg-'];1;1
14330;γλώττῃ;['γλῶσσα'];['n-s---fd-'];1;1
14331;ἀπολιχμωμένης;['ἀπολιχμάομαι'];['v-sppefg-'];1;1
14332;παρέκειτο;['παράκειμαι'];['v3siie---'];1;1
14333;διακοσίων;['διακόσιοι'];['m-p---fg-', 'm-p---ng-'];1;2
14334;εὐδαίμονος;['εὐδαίμων'];['a-s---mg-'];1;1
14335;μίτρα;['μίτρα'];['n-s---fn-'];1;1
14336;διάχρυσος;['διάχρυσος'];['a-s---fn-'];1;1
14337;ὑποδήματα;['ὑπόδημα'];['n-p---na-', 'n-p---nn-'];1;2
14338;ἐπίχρυσα;['ἐπίχρυσος'];['a-p---nn-'];1;1
14339;περισκελίδες;['περισκελίς'];['n-p---fn-'];1;1
14340;χρυσαῖ;['χρύσεος'];['a-p---fn-'];1;1
14341;εὕρημα;['εὕρημα'];['n-s---na-'];1;1
14342;διδασκόμενος;['διδάσκω'];['v-sppemn-'];1;1
14343;ἐλεεῖν;['ἐλεέω'];['v--pna---'];1;1
14344;ἀναιρεῖται;['ἀναιρέω'];['v3spie---'];1;1
14345;ἀγκῶνος;['ἀγκών'];['n-s---mg-'];1;1
14346;ἀποτίθεται;['ἀποτίθημι'];['v3spie---'];1;1
14347;εὔχεται;['εὔχομαι'];['v3spie---'];1;1
14348;Νύμφαις;['Νύμφη'];['n-p---fd-'];1;1
14349;χρηστῇ;['χρηστός'];['a-s---fd-'];1;1
14350;θρέψαι;['τρέφω'];['v--ana---'];1;1
14351;ἱκέτιν;['ἱκέτις'];['n-s---fa-'];1;1
14352;ἀπελαύνειν;['ἀπελαύνω'];['v--pna---'];1;1
14353;δείκνυσι;['δείκνυμι'];['v3spia---'];1;1
14354;παρακελεύεται;['παρακελεύομαι'];['v3spie---'];1;1
14355;θυγάτριον;['θυγάτριον'];['n-s---na-'];1;1
14356;λανθάνουσαν;['λανθάνω'];['v-sppafa-'];1;1
14357;τρέφειν;['τρέφω'];['v--pna---'];1;1
14358;Νάπη;['Νάπη'];['n-s---fn-'];1;1
14359;ἐκαλεῖτο;['καλέω'];['v3siie---'];1;1
14360;παρευδοκιμηθῆναι;['παρευδοκιμέω'];['v--anp---'];1;1
14361;Χλόην;['Χλόη'];['n-s---fa-'];1;1
14362;θηροτρόφα;['θηροτρόφος'];['a-p---nn-'];1;1
14363;πεδία;['πεδίον'];['n-p---nn-'];1;1
14364;πυροφόρα;['πυροφόρος'];['a-p---nn-'];1;1
14365;γήλοφοι;['γήλοφος'];['n-p---mn-'];1;1
14366;κλημάτων;['κλῆμα'];['n-p---ng-'];1;1
14367;νομαί;['νομή'];['n-p---fn-'];1;1
14368;ποιμνίων;['ποίμνιον'];['n-p---ng-'];1;1
14369;θάλαττα;['θάλασσα'];['n-s---fn-'];1;1
14370;προσέκλυζεν;['προσκλύζω'];['v3siia---'];1;1
14371;ᾐόνι;['ἠιών'];['n-s---fd-'];1;1
14372;ἐκτεταμένῃ;['ἐκτείνω'];['v-srpefd-'];1;1
14373;ψάμμῳ;['ψάμμος'];['n-s---fd-'];1;1
14374;μαλθακῇ;['μαλθακός'];['a-s---fd-'];1;1
14375;αἰγῶν;['αἴξ'];['n-p---fg-'];1;1
14376;δρυμός;['δρυμός'];['n-s---mn-'];1;1
14377;λόχμη;['λόχμη'];['n-s---fn-'];1;1
14378;βάτων;['βάτος'];['n-p---mg-'];1;1
14379;κιττός;['κισσός'];['n-s---mn-'];1;1
14380;ἐπιπλανώμενος;['ἐπιπλανάομαι'];['v-sppemn-'];1;1
14381;πόα;['πόα'];['n-s---fn-'];1;1
14382;μαλθακή;['μαλθακός'];['a-s---fn-'];1;1
14383;αἴξ;['αἴξ'];['n-s---fn-'];1;1
14384;θέουσα;['θέω'];['v-sppafn-'];1;1
14385;συνεχές;['συνεχής'];['d--------'];1;1
14386;ἀφανής;['ἀφανής'];['a-s---fn-', 'a-s---mn-'];1;2
14387;ἀπολιποῦσα;['ἀπολείπω'];['v-sapafnp'];1;1
14388;βρέφει;['βρέφος'];['n-s---nd-'];1;1
14389;παρέμενε;['παραμένω'];['v3siia---'];1;1
14390;Ἀριστάρχου;['Ἀρίσταρχος'];['n-s---mg-'];1;1
14391;Φαληρέως;['Φαληρεύς'];['n-s---mg-'];1;1
14392;Πυανεψιῶνος;['Πυανεψιών'];['n-s---mg-'];1;1
14393;ἱσταμένου;['ἵστημι'];['v-sppemg-'];1;1
14394;γραφὴν;['γραφή'];['n-s---fa-'];1;1
14395;Σῖγμα;['Σῖγμα'];['n-s---nn-'];1;1
14396;Ταῦ;['Ταῦ'];['n-s---na-', 'n-s---ng-', 'n-s---nn-', 'n-s---nv-'];1;4
14397;ἑπτὰ;['ἑπτά'];['a--------', 'm--------'];1;2
14398;φωνηέντων;['φωνήεις'];['a-p---ng-'];1;1
14399;βίας;['βία'];['n-s---fg-'];1;1
14400;ἁρπαγῆς;['ἁρπαγή'];['n-s---fg-'];1;1
14401;ἀφῃρῆσθαι;['ἀφαιρέω'];['v--rne---'];1;1
14402;ταῦ;['ταῦ'];['n-s---nd-'];1;1
14403;ἐκφερομένων;['ἐκφέρω'];['v-pppeng-'];1;1
14404;φωνήεντα;['φωνήεις'];['a-p---na-', 'a-p---nn-', 'a-p---nv-'];1;3
14405;δικασταί;['δικαστής'];['n-p---mv-'];1;1
14406;ὀλίγα;['ὀλίγος'];['a-p---na-', 'a-p---nn-'];1;2
14407;ἠδικούμην;['ἀδικέω'];['v1siie---'];1;1
14408;τουτουὶ;['οὗτος'];['p-s---mg-', 'p-s---ng-'];1;2
14409;καταχρωμένου;['καταχράομαι'];['v-sppeng-'];1;1
14410;ἐμοῖς;['ἐμός'];['a-p---md-', 'a-p---nd-'];1;2
14411;καταίροντος;['καταίρω'];['v-sppang-'];1;1
14412;παρήκουον;['παρακούω'];['v1siia---'];1;1
14413;ἔνια;['ἔνιοι'];['a-p---na-', 'a-p---nn-'];1;2
14414;λεγομένων;['λέγω', 'λέγω1'];['v-pppemg-', 'v-pppeng-'];2;2
14415;φυλάσσοντα;['φυλάσσω'];['v-sppama-'];1;1
14416;συλλαβάς;['συλλαβή'];['n-p---fa-'];1;1
14417;ὑπερβαίνειν;['ὑπερβαίνω'];['v--pna---'];1;1
14418;λύοντός;['λύω'];['v-sppamg-'];1;1
14419;διατυπώσας;['διατυπόω'];['v-sapamn-'];1;1
14420;Κάδμος;['Κάδμος'];['n-s---mn-'];1;1
14421;νησιώτης;['νησιώτης'];['n-s---mn-'];1;1
14422;Παλαμήδης;['Παλαμήδης'];['n-s---mn-'];1;1
14423;Σιμωνίδῃ;['Σιμωνίδης'];['n-s---md-'];1;1
14424;προσάπτουσι;['προσάπτω'];['v3ppia---'];1;1
14425;προμήθειαν;['προμήθεια'];['n-s---fa-'];1;1
14426;προεδρίαι;['προεδρία'];['n-p---fn-'];1;1
14427;βεβαιοῦνται;['βεβαιόω'];['v3ppie---'];1;1
14428;διώρισαν;['διορίζω'];['v3paia---'];1;1
14429;ποιότητας;['ποιότης'];['n-p---fa-'];1;1
14430;συνεῖδον;['συνοράω'];['v3paia---'];1;1
14431;δεδώκασι;['δίδωμι'];['v3pria---'];1;1
14432;αὑτὰ;['ἑαυτοῦ'];['p-p---na-'];1;1
14433;δύνασθε;['δύναμαι'];['v2ppie---'];1;1
14434;φθέγγεσθαι;['φθέγγομαι'];['v--pne---'];1;1
