;form;lemmi_relation;lemmi_definitivo
30477;ναυτικοῦ;['ναυτικόν', 'ναυτικός'];['ναυτικόν']
30543;Κυζικηνῶν;['Κυζικηνός', 'Κύζικος'];['Κυζικηνός']
30571;Πολυκλεῖ;['Πολυκλῆς'];['Πολυκλέης']
30606;εἰρημένῳ;['ἐρῶ'];['λέγω']
30622;δεομένη;['δέομαι', 'δέω'];['δέω']
30655;Πολυκλέα;['Πολυκλῆς'];['Πολυκλέης']
30668;διεδέξατο;['διαδέχομαι', 'διαδείκνυμι'];['διαδέχομαι']
30678;κρατίστην;['κράτιστος', 'κρατύς'];['ἀγαθός']
30705;μηνῶν;['μήνη', 'μείς'];['μείς']
30740;ἀπῇσαν;['ἀπέρχομαι', 'ἄπειμι2'];['ἄπειμι']
30770;ἀρκτοῦρον;['Ἀρκτοῦρος'];['ἀρκτοῦρος']
30793;μισθοφόρων;['μισθοφόρος', 'μισθόφορος'];['μισθοφόρος']
30833;διανοοῦ;['διανοόω'];['διανοέω']
30857;διενοεῖτο;['διανοέομαι', 'διανοέω'];['διανοέω']
30872;λέγοιμι;['λέγω', 'λέγω3'];['λέγω']
30888;ἀντείποι;['ἀντεῖπον', 'ἀντιλέγω'];['ἀντιλέγω']
30911;Πολύκλεις;['Πολυκλῆς'];['Πολυκλέης']
30936;καταλέλοιπεν;['καταλείπω', 'καταλιμπάνω'];['καταλείπω']
30971;καταλιπών;['καταλείπω', 'καταλιμπάνω'];['καταλείπω']
30975;Στραμμένῳ;['Στραμμένος'];['Στράμμενος']
30991;δεηθέντος;['δέω2'];['δέω']
31011;καταδιαιτῆσαι;['καταδιαιτέω'];['καταδιαιτάω']
31021;κληρονόμῳ;['κληρόνομος'];['κληρονόμος']
31030;ἀπιόντα;['ἀπέρχομαι', 'ἄπειμι1', 'ἄπειμι2'];['ἄπειμι']
31036;ἐχρίοντο;['χράω2'];['χράω']
31047;οὐδαμοῖ;['οὐδαμοῖ'];['οὐδαμός']
31055;σωθεὶς;['σώζω', 'σῴζω'];['σῴζω']
31065;δυνησόμενον;['δύναμαι'];['δυνάμαι']
31072;πιστά;['πιστός2'];['πιστός']
31095;διαιτῆσαι;['διαιτέω'];['διαιτάω']
31114;καταχθῆναι;['κατάσσω'];['κατάγω']
31138;διακεῖσθαι;['διάκειμαι', 'διακέομαι'];['διάκειμαι']
31144;ἐδεῖτό;['δέω2'];['δέω']
31154;δεσμῶν;['δέσμη', 'δεσμός'];['δέσμη']
31162;Θεοκλέα;['Θεοκλῆς'];['Θεοκλέης']
31182;χρήσῃς;['χράω2'];['χράω']
31201;προὐξένησεν;['προεκνέω'];['προξενέω']
31260;ἀνιόντα;['ἀνέρχομαι'];['ἄνειμι']
31299;κατασημηναμένους;['κατασημαίνω'];['κατασημαίνομαι']
31310;ἐγγυησάμενός;['ἐνεγγυάω'];['ἐγγυάω']
31320;ἀμφισβητησόντων;['ἀμφιαμφισβητέω'];['ἀμφισβητέω']
31327;παριδόντες;['παρεῖδον', 'παροράω'];['παροράω']
31339;κατέλειπον;['καταλιμπάνω'];['καταλείπω']
31345;συνόδῳ;['σύνοδος2'];['σύνοδος']
31355;καταλιπόντας;['καταλιμπάνω'];['καταλείπω']
31359;σώζειν;['σώζω'];['σῴζω']
31364;ἀποθνήσκειν;['ἀποθνήσκω'];['ἀποθνῄσκω']
31365;ἀπηλλάγησαν;['ἀπαλλαξείω'];['ἀπαλλάσσω']
31395;Κιλικίαν;['Κιλίκιa', 'Κιλίκια'];['Κιλικία']
31399;Καρίαν;['Κάρια', 'Καρία'];['Καρία']
31400;Μυσίαν;['Μυσία', 'Μύσια'];['Μυσία']
31402;συμφράξαντες;['συμφράζομαι', 'συμφράζω', 'συμφράσσω'];['συμφράσσω']
31407;κατεπλάγησαν;['καταπλάσσω', 'καταπλήσσω'];['καταπλήσσω']
31431;πλαγίων;['πλάγιον', 'πλάγος'];['πλάγιος']
31459;ἀριστείων;['ἀριστεῖα'];['ἀριστεῖον']
31470;θανόντων;['θνήσκω'];['θνῄσκω']
31474;τάφος;['τάφος1'];['τάφος']
31492;εἰρηκότες;['ἐρῶ'];['λέγω']
31516;ἀναχθεὶς;['ἀνάγω', 'ἀνάζω', 'ἀνάσσω'];['ἀνάγω']
31517;Ἀφέτας;['Ἀφεταί'];['Ἀφέται']
31528;ἀποδοχῆς;['ἀποδοχή', 'ἀποδοχεύς'];['ἀποδοχή']
31531;ἐπίπλουν;['ἐπίλοος', 'ἐπίπλοος', 'ἐπίπλοος2'];['ἐπίλοος', 'ἐπίπλοος']
31563;ἀντιπαρετάχθησαν;['ἀντιπαρατάσσομαι'];['ἀντιπαρατάσσω']
31571;Θερμοπύλας;['Θερμοπύλαι', 'θερμοπύλαι'];['Θερμοπύλαι']
31599;πανδημεί;['πανδημεί'];['πάνδημος']
31604;Δωριέων;['Δωριεύς', 'Δώριος'];['Δωριεύς']
31632;Θεσπιέων;['Θεσπίευς'];['Θεσπιεύς']
31654;Κερκυραῖοι;['Κερυκυραῖος'];['Κερκυραῖος']
31671;Πελοποννήσιοι;['Πελοποννήσιοι'];['Πελοποννήσιος']
31683;σκάφεσι;['σκάφος2'];['σκάφος']
31713;Κεγχρεῶν;['Κεγχρεαί'];['Κεγχρεά']
31718;διαβεβαιώσασθαι;['διαβεβαιόομαι', 'διαβεβαιόω'];['διαβεβαιόω']
31727;στάδιον;['στάδιον', 'στάδιος'];['στάδιος']
31746;Φοίνικες;['Φοῖνιξ', 'φοῖνιξ'];['Φοῖνιξ']
31752;ἀποστήσονται;['ἀφεστήξω'];['ἀφίστημι']
31761;Φοινίκων;['Φοῖνιξ', 'φοῖνιξ'];['Φοῖνιξ']
31812;κρατίστας;['κράτιστος'];['ἀγαθός']
31865;σκαφῶν;['σκάφη', 'σκάφος', 'σκάφος2', 'σκαφός'];['σκάφος']
31873;προειρημένης;['προερέω'];['προλέγω']
31915;ἐθελοντὶ;['ἐθελοντί'];['ἐθελοντὶ']
31963;Χίων;['Χίος', 'Χίων', 'Χῖος'];['Χῖος']
31969;Κυανέων;['Κυάνεος'];['Κυανέαι']
31998;ἀποθανουμένους;['ἀποθνήσκω'];['ἀποθνῄσκω']
32003;τολμήσειν;['τολμάω', 'τολμέω'];['τολμάω']
32013;Μηλιέων;['Μήλιος'];['Μηλιεύς']
32017;στρατιᾷ;['στρατία', 'στρατιά'];['στρατιά']
32018;συμπαρέπλει;['σύν-παραπλέω'];['συμπαραπλέω']
32030;προειρημένων;['προερέω'];['προλέγω']
32042;κατασκεψομένους;['κατά-σκέπτομαι'];['κατασκέπτομαι']
32056;Δημάρατον;['Δημ́αρατος', 'Δημάρατος'];['Δημάρατος']
32060;ὀξύτερον;['ὀξύς2'];['ὀξύς']
32076;προσέπεσον;['προσπίτνω'];['προσπίπτω']
32079;μισθοφόρους;['μισθοφόρος', 'μισθόφορος'];['μισθοφόρος']
32083;μιμνησκομένων;['μιμνήσκω'];['μιμνῄσκω']
32127;ἐπέλεξε;['ἐπί-λέγω1', 'ἐπί-λέγω3'];['ἐπιλέγω']
32175;μέσας;['μέσης', 'μέσος'];['μέσος']
32193;καταλείψουσιν;['καταλείβω', 'καταλιμπάνω'];['καταλείβω']
32201;Κράθιος;['Κράθις'];['Κρᾶθις']
32229;Νομάς;['Νομάι'];['Νομάς']
32232;Σικελοὺς;['Σικελοί'];['Σικελός']
32241;Συρακοσίους;['Συρακούσιος'];['Συρακόσιος']
32244;καταλειπόντων;['καταλιμπάνω'];['καταλείπω']
32256;παριόντες;['πάρειμι1', 'πάρειμι2'];['πάρειμι']
32269;νίκη;['νίκη', 'νῖκος'];['νίκη']
32311;Λοκροὺς;['Λοκροί', 'Λοκρός'];['Λοκρός']
32313;ἐφόδου;['ἔφοδος2', 'ἔφοδος3'];['ἔφοδος']
32327;Πολύμναστος;['Πολύμνηστος'];['Πολύμναστος']
32328;Σερούιος;['Σερούϊος'];['Σερούιος']
32348;ἐθελοντὴν;['ἐθελοντή́', 'ἐθελοντήν'];['ἐθελοντής']
32355;Λακωνικῆς;['Λακωνική', 'Λακωνικός'];['Λακωνικός']
32364;Κεφαλληνίας;['Κεφαλληνία', 'Κεφαλληνίη'];['Κεφαλληνία']
32370;Μεσσηνίων;['Μεσσήνιοι', 'Μεσσήνιος'];['Μεσσήνιος']
32382;Ποπλικόλαν;['Ποπλικόλα'];['Ποπλικόλας']
32383;Κλώδιον;['ξλοδιυς'];['Κλώδιος']
32388;Οἰνιαδῶν;['Οἰνιάδαι', 'Οἰνιάδη'];['Οἰνιάδαι']
32409;ἐνέπιπτον;['ἐμπίπτω', 'ἐμπίτνω'];['ἐμπίπτω']
32458;ἀγωγῆς;['ἀγωγή', 'ἀγωγεύς'];['ἀγωγή']
32486;χιλίοις;['χίλιοι', 'χίλιος'];['χίλιοι']
32487;κατεκληρούχησε;['κατά-κληρουχέω'];['κατακληρουχέω']
32490;λῃζομένων;['ληίζομαι'];['λῄζομαι']
32500;Κύρνον;['Κύρνος', 'κύρνος'];['Κύρνος']
32503;κατήντησαν;['κατά-ἀντάω'];['καταντάω']
32523;ἐμνήσθημεν;['μιμνήσκω'];['μιμνῄσκω']
32539;διάπυρον;['διάπυρος', 'διαπυρος'];['διάπυρος']
32554;ἀπολείπει;['ἀπολιμπάνω'];['ἀπολείπω']
32578;διωρισμένοις;['διόρίζω'];['διορίζω']
32586;πιστοὺς;['πιστός1', 'πιστός2'];['πιστός']
32590;προϊστορημένοις;['πρό-ἱστορέω'];['προιστορέω']
32596;αὔξησιν;['αὔξησις', 'αὖξις'];['αὔξησις']
32599;Συρακουσῶν;['Συρακοῦσαι'];['Συράκουσαι']
32678;δεξάμενοι;['δέχομαι', 'δείκνυμι'];['δέχομαι']
32708;πολλαπλασίων;['πολλαπλάσιος', 'πολλαπλασίων'];['πολλαπλάσιος']
32716;ὀξυτάταις;['ὀξύς2'];['ὀξύς']
32763;ἀξιοχρέους;['ἀξιόχρεως'];['ἀξιόχρεος']
32766;ἀποστήσεσθαι;['ἀφεστήξω'];['ἀφίστημι']
32775;πάρεισι;['πάρειμι1'];['πάρειμι']
32778;ἀποστήσειν;['ἀφεστήξω'];['ἀφίστημι']
32784;κατασκεψάμενοι;['κατά-σκέπτομαι'];['κατασκέπτομαι']
32787;προσέπεσε;['προσπίτνω'];['προσπίπτω']
32826;καταπλαγέντες;['καταπλάσσω', 'καταπλήσσω'];['καταπλήσσω']
32838;συνεπελάβοντο;['συνεπιλαμβάνομαι'];['συνεπιλαμβάνω']
32843;ἀπέλιπεν;['ἀπολείπω', 'ἀπολιμπάνω'];['ἀπολείπω']
32850;μηδίσαντα;['Μηδίζω'];['μηδίζω']
32903;συνεχόμενος;['συνόχωκα'];['συνέχω']
32915;βάρει;['βάρος', 'βᾶρις'];['βᾶρις']
32976;τάφου;['τάφος1'];['τάφος']
32978;ἀπολειπομένου;['ἀπολιμπάνω'];['ἀπολείπω']
33039;ἀπόφασιν;['ἀπόφασις1', 'ἀπόφασις2'];['ἀπόφασις']
33055;φθάσῃ;['φθάζω'];['φθάνω']
33060;ἀριστείοις;['ἀριστεῖα'];['ἀριστεῖον']
33080;λίθους;['λίθος', 'λιθόομαι'];['λίθος']
33109;εὐχρηστεῖσθαι;['εὐχρηστέομαι'];['εὐχρηστέω']
33111;ἐναντιουμένων;['ἐν-ἀντιόομαι', 'ἐν-ἐναντιόομαι'];['ἐναντιόομαι']
33151;Κόρης;['Κόρα'];['Κόρη']
33153;ἐνδεούσης;['ἐνδέω2'];['ἐνδέω']
33159;Σερούιον;['Σερούϊος'];['Σερούιος']
33175;κατέδυσε;['κατά-δύω1'];['καταδύω']
33178;διπλασίοσι;['διπλασίων'];['διπλάσιος']
33179;ἀριστεῖα;['ἀριστεῖα', 'ἀριστεῖος'];['ἀριστεῖον', 'ἀριστεῖος']
33206;ἀφιστάνειν;['ἀπό-ἱστάνω'];['ἀφίστημι']
33216;καταλελειμμένα;['καταλιμπάνω'];['καταλείπω']
33229;καταλείψω;['καταλιμπάνω'];['καταλείπω']
33279;Φαβίους;['Φαβίος'];['Φάβιος']
33333;παρεσχημένων;['παρά-σχάω'];['παρέχω']
33336;συνίστανεν;['σύν-ἱστάνω'];['συνίστημι']
33349;ἐδωρήσατο;['δωρέομαι', 'δωρέω'];['δωρέω']
33360;κατήντησεν;['κατά-ἀντάω'];['καταντάω']
33388;ἐνέπεσε;['ἐμπίτνω'];['ἐμπίπτω']
33391;μάγους;['Μάγος', 'μάγος'];['μάγος']
33421;Μυοῦντα;['Μυόεις'];['Μυοῦς']
33444;ἀπολιπεῖν;['ἀπολιμπάνω'];['ἀπολείπω']
33446;πάρεσμεν;['πάρειμι1'];['πάρειμι']
33478;δοκοῦσαν;['δοκόω'];['δοκέω']
33552;Γογγύλῳ;['Γογγύλος', 'Γόγγυλος'];['Γόγγυλος']
33567;Πελοποννήσιοί;['Πελοποννήσιοι'];['Πελοποννήσιος']
33576;ἀνέῳξε;['ἀνοίγνυμι'];['ἀνοίγω']
33591;μεταμελεῖσθαι;['μεταμελέομαι'];['μεταμέλομαι']
33600;μήτʼ;['μήτʼ', 'μήτε'];['μήτε']
33655;φόρον;['φόρον', 'φόρος'];['φόρον']
33687;Θρασυδαίου;['Θρασυδαίος'];['Θρασύδαιος']
33709;Καταναίαν;['Καταναία'];['Καταναῖος']
33713;ἐπιούσας;['ἔπειμι2'];['ἔπειμι']
33717;Λεοντίνους;['Λεοντῖνοι'];['Λεοντῖνος']
33718;δεομένην;['δέομαι', 'δέω2'];['δέω']
33726;ἀφεστηκόσιν;['ἀφίστημι', 'ἀφεστήξω'];['ἀφίστημι']
33806;ἀποστάντες;['ἀφίστημι', 'ἀφεστήξω'];['ἀφίστημι']
33812;ἀποστάντας;['ἀφίστημι', 'ἀφεστήξω'];['ἀφίστημι']
33829;Κοΐντιον;['Κοΐντιος'];['Κοίντιος']
33837;ἀπέστησε;['ἀφίστημι', 'ἀφεστήξω'];['ἀφίστημι']
33838;ἐπιλέξας;['ἐπί-λέγω'];['ἐπιλέγω']
33861;ἐνέπεσον;['ἐμπίπτω', 'ἐμπίτνω'];['ἐμπίπτω']
33877;περιελείποντο;['περιλείπομαι'];['περιλείπω']
33885;Νῆσον;['Νῆσος', 'νῆσος'];['νῆσος']
33890;εἶργον;['ἔργω1'];['ἔργω']
33897;εἰργόμενοι;['ἔργω1'];['ἔργω']
33907;βιασαμένων;['βιάω'];['βιάζω']
33910;Λευκὸν;['λευκόν', 'λευκός'];['Λευκοί']
33929;Φοίνιξι;['Φοῖνιξ', 'φοῖνιξ'];['Φοῖνιξ']
33931;κρατίστοις;['κράτιστος'];['ἀγαθός']
33947;κατεκληρούχησαν;['κατά-κληρουχέω'];['κατακληρουχέω']
33959;ἐκτήσαντο;['κτάομαι', 'κτέομαι'];['κτάομαι']
33961;ἐκπεπτωκότες;['ἐκπίτνω'];['ἐκπίπτω']
33969;Ἀναξίλου;['Ἀναξίλης'];['Ἀναξίλας']
33991;Ἀσὶς;['Ἄσιας'];['Ἀσίς']
33999;λεγομένῃ;['λέγω3'];['λέγω']
34009;προκατειργασμένων;['πρό-κατεργάζομαι'];['προκατεργάζομαι']
34023;Φιλοκλῆς;['Φιλοκλέης', 'Φιλοκλῆς'];['Φιλοκλέης']
34030;Ἁλιεῖς;['̔Αλιεύς'];['Ἁλιεῖς']
34033;Κεκρυφάλειαν;['Κεκρυφαλεία'];['Κεκρυφάλεια']
34054;Ἄλβας;['Ἄλβα', 'Ἄλβας'];['Ἄλβας']
34068;Βοιὸν;['βοιόν'];['Βοιόν']
34073;Πλειστώνακτος;['Πλειστώναξ'];['Πλειστοάναξ']
34086;Γεράνειαν;['Γερανεία'];['Γεράνεια']
34115;ἀπολελειμμένων;['ἀπολιμπάνω'];['ἀπολείπω']
34120;συνεχομένης;['συνόχωκα'];['συνέχω']
34125;περιλειφθέντες;['περιλείπομαι'];['περιλείπω']
34134;Μεσσηνίας;['Μεσσήνια'];['Μεσσηνία']
34143;ἐξεπύρσευον;['ἐκ-πυρσεύω'];['ἐκπυρσεύω']
34155;ἀφεστῶτες;['ἀφεστήξω'];['ἀφίστημι']
34156;Μεσσηνίοις;['Μεσσήνιοι'];['Μεσσήνιος']
34169;Νεμέων;['Νέμεα', 'Νέμειος'];['Νέμεα']
34180;ἐπικουρούντων;['ἐπί-ἐπικουρέω'];['ἐπικουρέω']
34184;Μυκήνας;['Μυκήνη'];['Μυκῆναι']
34200;μεταμεληθέντας;['μεταμελέομαι'];['μεταμέλομαι']
34206;κατάρας;['κατάρα', 'καταίρω'];['καταίρω']
34209;Πισίδας;['Πίσιδος'];['Πισίδης']
34220;πρᾳότητα;['πραότης'];['πρᾳότης']
34224;πλείονές;['πλείων'];['πολύς']
34232;ἀντίταγμα;['ἀντιταγμα'];['ἀντίταγμα']
34242;ἀφεστῶτας;['ἀφεστήξω'];['ἀφίστημι']
34243;Τύχην;['Τύχη'];['τύχη']
34256;μισθοφόροις;['μισθοφόρος', 'μισθόφορος'];['μισθοφόρος']
34258;Νήσου;['Νῆσος'];['νῆσος']
34268;Λοκρούς;['Λοκροί'];['Λοκρός']
34276;πρώτως;['πρώτως'];['πρῶτος']
34280;Ποπλικόλας;['Ποπλικόλα'];['Ποπλικόλας']
34303;Ἀρταξέρξην;['Ἀρταξέρξης'];['Ἀρταξέρξης']
34333;καλὰς;['κάλως', 'καλός'];['καλός']
34341;Ἀσσυρίων;['Ἀσσύριοι', 'Ἀσσύριος'];['Ἀσσύριος']
34360;Αὐσόνων;['Αὐσόνος'];['Αὐσόνιος']
34378;Λυκάονες;['Λυκαονία'];['Λυκάων']
34388;καρποῖς;['καρπός1', 'καρπός2'];['καρπός']
34389;μνησθεῖσα;['μιμνήσκω'];['μιμνῄσκω']
34428;Μόργης;['Μόργης', 'Μόργητες'];['Μόργητες']
34435;Σικελοὶ;['Σικελοί'];['Σικελός']
34445;Λυκάων;['Λυκάων', 'λυκάων'];['Λυκάων']
34446;Μακεδονικὴ;['Μακεδ́νιος'];['Μακεδονικός']
34457;μιμνήσκεται;['μιμνήσκω'];['μιμνῄσκω']
34491;Λίγυας;['Λίγυας', 'Λίγυς'];['Λίγυς']
34498;περιῆσαν;['περίειμι1'];['περίειμι']
34515;ἀφεστῶσα;['ἀφεστήξω'];['ἀφίστημι']
34517;Κοϊντίας;['Κοϊντία'];['Κυΐνκτιος']
34519;ἐπικαθημένη;['ἐπί-κάθημαι'];['ἐπικάθημαι']
34536;τάφοι;['τάφος1'];['τάφος']
34546;Κόρητον;['Κόρητον'];['Κόρητος']
34554;λίμνης;['λίμνη', 'λιμνει'];['λίμνη']
34556;Μαρούιον;['Μαρούϊον'];['Μαρούιον']
34567;καθεζομένη;['κατά-καθέζομαι'];['καθέζομαι']
34586;περισωθέντες;['περισώζω'];['περισῴζω']
34596;λίμνη;['λίμνη', 'λιμνει'];['λίμνη']
34616;διάμετρον;['διάμετρη', 'διάμετρος'];['διάμετρος']
34619;ἀνίδρυτος;['ἀίδρυτος'];['ἀνίδρυτος']
34620;περινήχεται;['περί-νήχω'];['περινήχομαι']
34621;πολλαχῇ;['πολλαχῆ'];['πολλαχός']
34638;Παμφυλίου;['Παμφύλιον'];['Παμφύλιος']
34665;βασιλειῶν;['βασίλεια'];['βασιλεία']
34686;ἐλαχίστην;['ἐλάχιστος'];['ἐλαχύς']
34738;ἐλαχίστων;['ἐλάχιστος', 'ἐλαχύς'];['ἐλαχύς']
34745;παραστῇ;['παρίστημι', 'παραστάζω'];['παρίστημι']
34757;ἀπέσται;['ἄπειμι1'];['ἄπειμι']
34800;θείᾳ;['θεῖος1'];['θεῖος']
34801;συναποθνήσκειν;['συναποθνήσκω'];['συναποθνῄσκω']
34807;προνοούμενος;['προνοοῦμαι'];['προνοέω']
34813;μεμνημένῳ;['μιμνήσκω'];['μιμνῄσκω']
34817;προανεγνωκότες;['πρό-ἀναγιγνώσκω'];['προαναγιγνώσκω']
34903;ἀναμιχθέντες;['ἀναμίσγω'];['ἀναμίγνυμι']
34904;συνήραντο;['σύν-ἐράομαι'];['συνέραμαι']
34934;σώζοντες;['σώζω'];['σῴζω']
34942;ἐλαχίστου;['ἐλάχιστος'];['ἐλαχύς']
34945;φιλανθρώπῳ;['φιλάνθρωπον', 'φιλάνθρωπος'];['φιλάνθρωπος']
34965;εἴποιμεν;['εἶπον'];['λέγω']
34974;Ἀβερριγῖνας;['Ἀβερριγῖνας'];['Ἀβερριγῖνες']
34987;Λιγύων;['Λίγυες', 'Λίγυς'];['Λίγυς']
34992;Λίγυες;['Λίγυες'];['Λίγυς']
34996;προσωτέρω;['προσωτέρω', 'πρόσω'];['πρόσω']
35001;Γάϊος;['Γαῗος'];['Γάιος']
35031;Σικελοῖς;['Σικελοί'];['Σικελός']
35035;γειναμένων;['γείνομαι'];['γίγνομαι']
35055;Θρᾳκίας;['Θρᾳκία'];['Θρᾳκίας']
35065;γύαις;['γύης2'];['γύης']
35067;Τυρσηνοῖσι;['Τυρηηνός'];['Τυρσηνός']
35075;Σικελούς;['Σικελοί'];['Σικελός']
35080;ἔνεστιν;['ἐν-εἰμί'];['ἔνειμι']
35095;ἀρίστας;['ἄριστος'];['ἀγαθός']
35102;ἐδέξαντο;['δέχομαι', 'δείκνυμι'];['δέχομαι']
35108;μόσυνας;['μόσυνας'];['μόσσυν']
35111;Τυρρηνὸν;['Τυρηηνός', 'Τυρρηνός'];['Τυρρηνός']
35116;Γῆς;['Γαῖα'];['Γῆ']
35121;Τύλλου;['Τύλλος', 'Τύλλυς'];['Τύλλος']
35124;Ἀσίην;['̓Ασία', 'Ἀσία', 'Ἀσίας'];['̓Ασία']
35128;Χωραίου;['Χωραίος'];['Χωραῖος']
35135;εἴρηνται;['ἐρῶ'];['λέγω']
35151;ἐξόδῳ;['ἔξοδος1', 'ἔξοδος2'];['ἔξοδος']
35164;ἔλεξαν;['λέγω3'];['λέγω']
35181;Τορήβου;['Τορήβος'];['Τόρηβος']
35191;Ἀμύντωρ;['ἀμύντωρ'];['Ἀμύντωρ']
35199;Τυρσηνίην;['Τυρρήνιος'];['Τυρσηνία']
35218;Αὔσονες;['Αὔσονες'];['Αὐσόνιος']
35225;σωζούσαις;['σώζω'];['σῴζω']
35226;Κροτωνιῆται;['Κροτωνιήτης'];['Κροτωνιάτης']
35231;Πλακιηνοί;['nan', 'Πλακιηνός'];['Πλακιηνός']
35246;φύντας;['φύς'];['φύω']
35286;Λαρίσης;['Λάρισα', 'Λάρισσα'];['Λάρισα']
35308;μήκιστον;['μήκιστος'];['μακρός']
35311;πεδίων;['πέδιον', 'πεδίον'];['πεδίον']
35314;Αἰτωλοὶ;['Αἰτωλοί'];['Αἰτωλός']
35322;νήσων;['νήσος', 'νῆσος'];['νῆσος']
35335;Σατορνία;['Σατορνία'];['Σατόρνιος']
35343;καταλείπουσι;['καταλιμπάνω'];['καταλείπω']
35357;καταλειφθὲν;['καταλιμπάνω'];['καταλείπω']
35363;πολισμάτια;['πολισμάτιον', 'πόλισμα'];['πολίσμα']
35365;ἀπιόντες;['ἀπέρχομαι', 'ἄπειμι1', 'ἄπειμι2'];['ἄπειμι']
35405;συνοίκους;['σύνοικος'];['σύνoικος']
35408;πυθομένοις;['πυνθάνομαι', 'πύθω'];['πυνθάνομαι']
35430;ϝαὴρ;['ϝαὴρ'];['ϝαήρ']
35432;ἐλαχίστη;['ἐλάχιστος'];['ἐλαχύς']
35443;Καιρητανῶν;['Καιρητάνος'];['Καιρετανός']
35478;λεγομένη;['λέγω3'];['λέγω']
35485;Καμπανῶν;['Καμπανοί'];['Καμπανός']
35488;Αὐρωνίσσους;['Αὐρωνίσσος'];['Αὐρωνίσσοι']
35520;Λέσβιός;['λέσβιος'];['Λέσβιος']
35555;καρπὸς;['καρπός1'];['καρπός']
35577;συνδιαλυμηνάμενα;['σύν-διαλυμαίνομαι'];['συνδιαλυμαίνομαι']
35587;Ἀντεμνάτας;['Ἀντέμνα'];['Ἀντεμνᾶται']
35591;Τιβουρτίνους;['Τιβούρτινος'];['Τιβουρτῖνος']
35593;μαντευομένοις;['μαντεύω'];['μαντεύομαι']
35609;ἀμηχανοῦσι;['ἀμηχανάω'];['ἀμηχανέω']
35631;μεθισταμένου;['μεθιστάω'];['μεθίστημι']
35633;ἐξιοῦσιν;['ἔξειμι2'];['ἔξειμι']
35634;ἀπολείπεσθαί;['ἀπολιμπάνω'];['ἀπολείπω']
35653;Παλλαντίου;['Παλλάντιον', 'Παλλάντιος'];['Παλλάντιον']
35664;Καρμέντην;['Καρμέντη'];['Καρμέντα']
35669;Μέγιστος;['Μέγιστος'];['μέγας']
35670;Βοαρίας;['βοάριος'];['Βοάριος']
35767;Παλλάντιον;['Παλλάντιον', 'Παλλάντιος'];['Παλλάντιον']
35771;Φαῦνος;['Φαῦνος', 'φαυνυς'];['Φαῦνος']
35776;καταλειφθῆναι;['καταλιμπάνω'];['καταλείπω']
35784;δωρεῖσθαι;['δωρέομαι', 'δωρέω'];['δωρέω']
35785;πλούτοις;['πλοῦτος1'];['πλοῦτος']
35793;Φαύνῳ;['Φαύνυς'];['Φαῦνος']
35798;Αἰνείαν;['Αἰνεία', 'Αἰνείας'];['Αἰνείας']
35813;Πόλεως;['Πόλις'];['πόλις']
35815;καταλειφθέντες;['καταλιμπάνω'];['καταλείπω']
35824;Φαύνου;['φαυνυς'];['Φαῦνος']
35827;Τρῶες;['Τρώς'];['Τρῶες']
35840;Ἄλβαν;['Ἄλβα'];['Ἄλβας']
35845;Παλλάντιόν;['Παλλάντιόν'];['Παλλάντιον']
35848;περιλειπόμενα;['περιλείπομαι'];['περιλείπω']
35854;παρέργως;['πάρεργον', 'πάρεργος', 'παρέργως'];['πάρεργος']
35857;Καρμέντῃ;['Καρμέντη'];['Καρμέντα']
35860;Αὐεντίνῳ;['Αὐεντῖνον'];['Αὐεντῖνος']
35861;λεγομένῳ;['λέγω3'];['λέγω']
35862;Τριδύμου;['Τριδύμη'];['Τρίδυμος']
35868;Πανὶ;['Πᾶν'];['Πάν']
35897;λεχθήσεται;['λέγω3'];['λέγω']
35904;ἔθυον;['θύω1'];['θύω']
35908;ἔθυσαν;['θύω1'];['θύω']
35911;Κωνσουάλια;['Κωνσουάλιον'];['Κωνσουάλια']
35916;καθωσίωσαν;['καθοσιόομαι'];['καθοσιόω']
35925;κάρμινα;['κάρμεν'];['κάρμινα']
35943;κρατίστῳ;['κράτιστος'];['ἀγαθός']
35963;Πισάτιδι;['Πισάτης'];['Πισᾶτις']
35965;συνιόντες;['σύνειμι1', 'σύνειμι2'];['σύνειμι']
35970;ἄνοδον;['ἄνοδος2'];['ἄνοδος']
35978;λογίοις;['λόγιον', 'λόγιος'];['λόγιον']
35995;Σκυλλητίνου;['Σκυλλητίνος'];['Σκυλλητῖνος']
36005;διῆρε;['διαίρεω', 'διαίρω'];['διαίρεω']
36011;πη;['πη'];['πῃ']
36021;Αὐσονίαν;['Αὐσονίη'];['Αὐσονία']
36022;εἴρηταί;['εἴρω2', 'ἐρῶ'];['λέγω']
36028;ἀφελῶν;['ἀφαιρέω'];['ἀφελής']
36055;δενδρῖτις;['δενδρίτης'];['δενδρῖτις']
36066;σιτοφόρου;['σιτόφορος'];['σιτοφόρος']
36078;Σαβίνων;['Σαβίνος', 'Σαβῖνος'];['Σαβῖνος']
36085;κρατίστους;['κράτιστος'];['ἀγαθός']
36144;θείῳ;['θεῖος1', 'θεῖος2'];['θεῖος']
36155;Κελτοῖς;['Κελτοί'];['Κελτός']
36158;Σατουρνίῳ;['Σατουρνίον'];['Σατόρνιος']
36164;ἀπομειλιττομένους;['ἀπομειλίσσομαι'];['ἀπομειλίσσω']
36176;σωζομένων;['σώζω'];['σῴζω']
