,@form,lemma_1,lemma_2,lemma_3,lemma_4,lemma_5,lemma_6,lemma_7,lemma_8,lemma_9,lemma_10,lemma_11,lemma_12,lemma_13,lemma_14,lemma_15,lemma_16,lemma_17,lemma_18,lemma_19,lemma_20,postag_1,postag_2,postag_3,postag_4,postag_5,postag_6,postag_7,postag_8
10541,ἀπικνέεσθαι,ἀφικνέομαι,ἀφικνέομαι (inf. ion. “arrivare”),ἀφικνέομαι (inf. ion.),,,,,,,,,,,,,,,,,,v--pne---,,,,,,,
10542,ἐσήμαινε,σημαίνω,σημαίνω (ion. impf. 3s),,,,,,,,,,,,,,,,,,,v3siia---,,,,,,,
10543,δορυφόροισι,δορυφόρος,δορύφορος,,,,,,,,,,,,,,,,,,,a-p---md-,,,,,,,
10544,ἔφαινε,φαίνω,φαίνω (impf. 3s),φαίνω (ion. impf. 3s),,,,,,,,,,,,,,,,,,v3siia---,,,,,,,
10545,διεξήιε,διέξειμι,διεξέρχομαι (ion. impf. 3s),,,,,,,,,,,,,,,,,,,v3siia---,,,,,,,
10546,χρεώμενος,χράομαι,χράομαι (part. pres.),,,,,,,,,,,,,,,,,,,v-sppemn-,,,,,,,
10547,κατέβαινε,καταβαίνω,καταβαίνω (ion. impf. 3s),,,,,,,,,,,,,,,,,,,v3siia---,,,,,,,
10548,λιτάς,λιτή,λιτή (acc. pl. “suppliche”?),,,,,,,,,,,,,,,,,,,n-p---fa-,,,,,,,
10549,ἐκφήναντος,ἐκφαίνω,ἐκφαίνω (part. aor. gen.),,,,,,,,,,,,,,,,,,,v-sapamg-,,,,,,,
10550,ἐλάσσω,ἐλάσσων,ἐλάσσων (comp. n. pl.?),ἐλασσόω (o “più leggera” nel senso di “minore responsabilità”?),ἐλαχύς,,,,,,,,,,,,,,,,,a-p---nnc,a-s---mac,,,,,,
10551,ἐποιέετο,ποιέω,ποιέω (impf. 3s ion.),ποιέω (ion. impf. 3s med. “si faceva”),ποιέω (ion. impf. 3s med. “si preparava”),ποιέω (ion. impf. 3s med.),ποιέω (ion. impf. 3s),ποιέω (ion. impf. med. 3s),,,,,,,,,,,,,,v3siie---,,,,,,,
10552,Ἁρπάγῳ,ἅρπαγος,Ἅρπαγος,Ἅρπαγος (dat.),,,,,,,,,,,,,,,,,,n-s---md-,,,,,,,
10553,καλέειν,καλέω,καλέω (inf.),καλέω (ion. inf.),,,,,,,,,,,,,,,,,,v--fna---,,,,,,,
10554,εἴρετό,εἴρω,εἴρω2,ἔρομαι,ἔρομαι (3s aor. pass.),ἔρομαι (aor. pass. 3s),,,,,,,,,,,,,,,,v3siie---,v3siim---,,,,,,
10555,κατεχρήσαο,κατά-χράω2,καταχράομαι (2s aor. “che ne hai fatto?”),,,,,,,,,,,,,,,,,,,v2saim---,,,,,,,
10556,παρέδωκα,παραδίδωμι,παραδίδωμι (aor. 1s),παραδίδωμι (aor.1s),,,,,,,,,,,,,,,,,,v1saia---,,,,,,,
10557,τρέπεται,τρέπω,τρέπω (pres. 3s),,,,,,,,,,,,,,,,,,,v3spie---,,,,,,,
10558,ἐλεγχόμενος,ἐλέγχω,ἐλέγχω (part. pass. pres.),,,,,,,,,,,,,,,,,,,v-sppemn-,,,,,,,
10559,ἁλίσκηται,ἁλίσκομαι,ἁλίσκομαι (subj.),,,,,,,,,,,,,,,,,,,v3spse---,,,,,,,
10560,ἐβούλευον,βουλεύω,βουλεύω (ion. impf. 1s),,,,,,,,,,,,,,,,,,,v1piia---,,,,,,,
10561,σκοπέων,σκοπέω,σκοπέω (part. pres.),,,,,,,,,,,,,,,,,,,v-sppamn-,,,,,,,
10562,σοί,σός,σύ,σύ (dat.),,,,,,,,,,,,,,,,,,p2s----d-,,,,,,,
10563,γινόμενος,γίγνομαι,γίγνομαι (part. pres.),γίγνομαι (part.),,,,,,,,,,,,,,,,,,v-sppemn-,,,,,,,
10564,ἀναμάρτητος,ἀναμάρτητος,ἀναμάρτητος (agg.),,,,,,,,,,,,,,,,,,,a-s---mn-,,,,,,,
10565,θυγατρὶ,θυγάτηρ,θυγάτηρ (dat.),,,,,,,,,,,,,,,,,,,n-s---fd-,,,,,,,
10566,αὐθέντης,αὐθέντης,αὐθέντης (“colpevole di omicidio” o “responsabile”),,,,,,,,,,,,,,,,,,,n-s---mn-,,,,,,,
10567,παραδίδωμι,παραδίδωμι,παραδίδωμι (1s),παραδίδωμι (pres. 1s),,,,,,,,,,,,,,,,,,v1spia---,,,,,,,
10568,κελεύοντα,κελεύω,κελεύω (part. pres.),,,,,,,,,,,,,,,,,,,v-sppama-,,,,,,,
10569,ἐψευδόμην,ψεύδομαι (1s aor.),ψεύδω,,,,,,,,,,,,,,,,,,,v1siie---,,,,,,,
10570,ἐνετέλλεο,ἐντέλλω,ἐντέλλω (ion. impf. 2s),,,,,,,,,,,,,,,,,,,v2saim---,,,,,,,
10571,ἐντειλάμενος,ἐντέλλω,ἐντέλλω (part. aor. nom. m.),ἐντέλλω (part. aor.),,,,,,,,,,,,,,,,,,v-sapmmn-,,,,,,,
10572,θεῖναὶ,θείνω,τίθημι (inf. aor.),,,,,,,,,,,,,,,,,,,v2samm---,,,,,,,
10573,παραμένοντα,παραμένω,παραμένω (part. pres.),,,,,,,,,,,,,,,,,,,v-sppama-,,,,,,,
10574,φυλάσσειν,φυλάζω,φυλάσσω,φυλάσσω (inf.),,,,,,,,,,,,,,,,,,v--fna---,v--pna---,,,,,,
10575,τελευτήσῃ,τελευτάω,τελευτάω (subj. 3s),τελευτάω (subj.),,,,,,,,,,,,,,,,,,v3sasa---,,,,,,,
10576,παντοῖα,παντοῖος,παντοῖος (n. acc. pl. “di ogni genere”),παντοῖος (n. acc. pl.),παντοῖος (n. pl.),,,,,,,,,,,,,,,,,a-p---na-,,,,,,,
10577,ἐπιτελέα,ἐπιτελέω (adj. n. pl. “adempiuti”?),ἐπιτελέω (adj. “compiute”?),ἐπιτελής,,,,,,,,,,,,,,,,,,a-p---na-,a-p---nn-,,,,,,
10578,ποιήσαντος,ποιέω,ποιέω (part. aor. gen.),,,,,,,,,,,,,,,,,,,v-sapamg-,,,,,,,
10579,κελευόμενα,κελεύω,κελεύω (part. pass.),,,,,,,,,,,,,,,,,,,v-pppena-,,,,,,,
10580,ἐτελεύτησε,τελευτάω,τελευτάω (aor. 3s),τελευτάω (aor.3s),,,,,,,,,,,,,,,,,,v3saia---,,,,,,,
10581,ἔθαψά,θάπτω,θάπτω (aor. 1s),,,,,,,,,,,,,,,,,,,v1saia---,,,,,,,
10582,πρήγματος,πρᾶγμα,πρῆγμα,,,,,,,,,,,,,,,,,,,n-s---ng-,,,,,,,
10583,ἰθὺν,εὐθύς1,,,,,,,,,,,,,,,,,,,,a-s---ma-,,,,,,,
10584,κρύπτων,κρύπτω,,,,,,,,,,,,,,,,,,,,v-sppamn-,,,,,,,
10585,ἐνεῖχε,ἐνέχω,,,,,,,,,,,,,,,,,,,,v3siia---,,,,,,,
10586,χόλον,χόλος,,,,,,,,,,,,,,,,,,,,n-s---ma-,,,,,,,
10587,γεγονός,γίγνομαι,γίγνομαι (part. perf. n. acc. “l’accaduto”),γίγνομαι (part. perf. n. acc.),,,,,,,,,,,,,,,,,,v-srpana-,,,,,,,
10588,ἤκουσε,ἀκούω,ἀκούω (aor. 3s),,,,,,,,,,,,,,,,,,,v3saia---,,,,,,,
10589,ἀπηγέετο,ἀφηγέομαι,,,,,,,,,,,,,,,,,,,,v3siim---,,,,,,,
10590,ἐπαλιλλόγητο,παλιλλογέω,,,,,,,,,,,,,,,,,,,,v3slie---,,,,,,,
10591,περίεστί,περίειμι1,περιεῖμι (3s),,,,,,,,,,,,,,,,,,,v3spia---,,,,,,,
10592,πεποιημένῳ,ποιέω,,,,,,,,,,,,,,,,,,,,v-srpend-,,,,,,,
10593,ἔκαμνον,κάμνω,,,,,,,,,,,,,,,,,,,,v1siia---,,,,,,,
10594,ἐμῇ,ἐγώ,ἐμός,,,,,,,,,,,,,,,,,,,a-s---fd-,,,,,,,
10595,διαβεβλημένος,διαβάλλω,,,,,,,,,,,,,,,,,,,,v-srpemn-,,,,,,,
10596,ἐλαφρῷ,ἐλαφρός,,,,,,,,,,,,,,,,,,,,a-s---md-,,,,,,,
10597,ἐποιεύμην,ποιέω,,,,,,,,,,,,,,,,,,,,v1siie---,,,,,,,
10598,μετεστεώσης,μεθίστημι,,,,,,,,,,,,,,,,,,,,v-srpafg-,,,,,,,
10599,ἀπόπεμψον,ἀποπέμπω,,,,,,,,,,,,,,,,,,,,v2sama---,,,,,,,
10600,νεήλυδα,νέηλυς,,,,,,,,,,,,,,,,,,,,n-s---ma-,,,,,,,
10601,σῶστρα,σῶστρα,,,,,,,,,,,,,,,,,,,,n-p---nn-,,,,,,,
10602,μέλλω,μέλλω,,,,,,,,,,,,,,,,,,,,v1spsa---,,,,,,,
10603,αὕτη,  ,οὗτος,οὗτος (f. nom. sg.),οὗτος (f. nom.),οὗτος (f.nom.sg),οὗτος (f.nom.sg.),,,,,,,,,,,,,,,a-s---fn-,p-s---fn-,,,,,,
10604,προσκέεται,πρόσκειμαι,,,,,,,,,,,,,,,,,,,,v3ppie---,,,,,,,
10605,πάρισθί,παρά-οἶδα,,,,,,,,,,,,,,,,,,,,v2srma---,,,,,,,
10606,προσκυνήσας,προσκυνέω,,,,,,,,,,,,,,,,,,,,v-sapamn-,,,,,,,
10607,ἁμαρτὰς,ἁμαρτάς,,,,,,,,,,,,,,,,,,,,n-s---fn-,,,,,,,
10608,τύχῃσι,τύχη,,,,,,,,,,,,,,,,,,,,n-p---fd-,,,,,,,
10609,χρηστῇσι,χρηστός,,,,,,,,,,,,,,,,,,,,a-p---fd-,,,,,,,
10610,ἐκέκλητο,καλέω,,,,,,,,,,,,,,,,,,,,v3slie---,,,,,,,
10611,ἐσελθὼν,εἰσέρχομαι,,,,,,,,,,,,,,,,,,,,v-sapamn-,,,,,,,
10612,ἐκπέμπεν,ἐκπέμπω,,,,,,,,,,,,,,,,,,,,v--pna---,,,,,,,
10613,κελεύῃ,κελεύω,,,,,,,,,,,,,,,,,,,,v2spse---,,,,,,,
10614,περιχαρὴς,περιχαρής,,,,,,,,,,,,,,,,,,,,a-s---mn-,,,,,,,
10615,φράζει,φράζω,φράζω (3s),,,,,,,,,,,,,,,,,,,v3spia---,,,,,,,
10616,συγκυρήσαντα,συγκυρέω,,,,,,,,,,,,,,,,,,,,v-papana-,,,,,,,
10617,σφάξας,σφάζω,,,,,,,,,,,,,,,,,,,,v-sapamn-,,,,,,,
10618,μέλεα,μέλος,,,,,,,,,,,,,,,,,,,,n-p---na-,,,,,,,
10619,ὤπτησε,ὀπτάω,,,,,,,,,,,,,,,,,,,,v3saia---,,,,,,,
10620,ἥψησε,ἑψάω,,,,,,,,,,,,,,,,,,,,v3saia---,,,,,,,
10621,κρεῶν,κρέας,κρέας (n. gen. pl. “di carni”),,,,,,,,,,,,,,,,,,,n-p---ng-,,,,,,,
10622,εὔτυκα,εὔτυκος,,,,,,,,,,,,,,,,,,,,a-p---na-,,,,,,,
10623,ὥρης,ὥρα,,,,,,,,,,,,,,,,,,,,n-s---fg-,,,,,,,
10624,δείπνου,  ,δεῖπνον,δεῖπνος,,,,,,,,,,,,,,,,,,n-s---mg-,n-s---ng-,,,,,,
10625,δαιτυμόνες,δαιτυμών,δαιτύμων,,,,,,,,,,,,,,,,,,,n-p---mn-,,,,,,,
10626,Ἀστυάγεϊ,Ἀστυάγης,Ἀστυάγης (dat.),,,,,,,,,,,,,,,,,,,n-s---md-,,,,,,,
10627,παρετιθέατο,παρατίθημι,,,,,,,,,,,,,,,,,,,,v3piie---,,,,,,,
10628,τράπεζαι,τράπεζα,,,,,,,,,,,,,,,,,,,,n-p---fn-,,,,,,,
10629,ἐπίπλεαι,ἐπίπλεος,,,,,,,,,,,,,,,,,,,,a-p---fn-,,,,,,,
10630,μηλέων,μῆλον,,,,,,,,,,,,,,,,,,,,n-p---ng-,,,,,,,
10631,κεφαλῆς,κεφαλή,,,,,,,,,,,,,,,,,,,,n-s---fg-,,,,,,,
10632,ἄκρων,ἄκρος,,,,,,,,,,,,,,,,,,,,a-p---fg-,,,,,,,
10633,ἔκειτο,  ,κεῖμαι,κεῖμαι (impf. 3s),,,,,,,,,,,,,,,,,,v3siie---,,,,,,,
10634,κανέῳ,κάνεον,,,,,,,,,,,,,,,,,,,,n-s---nd-,,,,,,,
10635,κατακεκαλυμμένα,κατακαλύπτω,,,,,,,,,,,,,,,,,,,,v-prpenn-,,,,,,,
10636,ἅλις,ἅλις,,,,,,,,,,,,,,,,,,,,d--------,,,,,,,
10637,βορῆς,βορά,,,,,,,,,,,,,,,,,,,,n-s---fg-,,,,,,,
10638,θοίνῃ,θοίνη,,,,,,,,,,,,,,,,,,,,n-s---fd-,,,,,,,
10639,φαμένου,φημί,,,,,,,,,,,,,,,,,,,,v-sppmmg-,,,,,,,
10640,παρέφερον,παραφέρω,,,,,,,,,,,,,,,,,,,,v3piia---,,,,,,,
10641,κεφαλὴν,κεφαλή,,,,,,,,,,,,,,,,,,,,n-s---fa-,,,,,,,
10642,κατακεκαλυμμένην,κατακαλύπτω,,,,,,,,,,,,,,,,,,,,v-srpefa-,,,,,,,
10643,πόδας,πούς,,,,,,,,,,,,,,,,,,,,n-p---ma-,,,,,,,
10644,ἐκέλευον,κελεύω,κελεύω (impf. 3p),κελεύω (impf.1s),,,,,,,,,,,,,,,,,,v1siia---,v3piia---,,,,,,
10645,προσστάντες,προσίστημι,,,,,,,,,,,,,,,,,,,,v-papamn-,,,,,,,
10646,ἀποκαλύπτειν,ἀποκαλύπτω,,,,,,,,,,,,,,,,,,,,v--pna---,,,,,,,
10647,ἀποκαλύπτων,ἀποκαλύπτω,,,,,,,,,,,,,,,,,,,,v-sppamn-,,,,,,,
10648,ὁρᾷ,ὁράω,,,,,,,,,,,,,,,,,,,,v3spia---,,,,,,,
10649,λείμματα,λεῖμμα,,,,,,,,,,,,,,,,,,,,n-p---na-,,,,,,,
10650,ἐξεπλάγη,ἐκπλήσσω,ἐκπλήσσω (aor.pass.3s),,,,,,,,,,,,,,,,,,,v3saip---,,,,,,,
10651,γινώσκοι,γιγνώσκω,,,,,,,,,,,,,,,,,,,,v3spoa---,,,,,,,
10652,θηρίου,θηρίον,,,,,,,,,,,,,,,,,,,,n-s---ng-,,,,,,,
10653,κρέα,κρέας,,,,,,,,,,,,,,,,,,,,n-p---na-,,,,,,,
10654,βεβρώκοι,βιβρώσκω,,,,,,,,,,,,,,,,,,,,v3sroa---,,,,,,,
10655,ἀρεστὸν,ἀρεστός,,,,,,,,,,,,,,,,,,,,a-s---na-,,,,,,,
10656,ἔρδῃ,ἔρδω,,,,,,,,,,,,,,,,,,,,v3spsa---,,,,,,,
10657,ἔμελλε,μέλλω,,,,,,,,,,,,,,,,,,,,v3siia---,,,,,,,
10658,θάψειν,θάπτω,,,,,,,,,,,,,,,,,,,,v--fna---,,,,,,,
10659,κουν,κούν? (o κου τινὰ “uno di loro”? Testo un po’ corrotto)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
10660,ταύτην,  ,"""""",οὗτος,οὗτος (acc. f.),οὗτος (f. acc. sg.),οὗτος (f. acc. sing.),οὗτος (f.acc.sg),οὗτος (f.acc.sg.),,,,,,,,,,,,,a-s---fa-,p-s---fa-,,,,,,
10661,ἔκριναν,κρίνω,κρίνω (aor. 3p),,,,,,,,,,,,,,,,,,,v3paia---,,,,,,,
10662,ἀπικομένους,  ,ἀφικνέομαι,ἀφικνέομαι (part. aor. pass. ion.),ἀφικνέομαι (part. aor. pass. pl.),,,,,,,,,,,,,,,,,v-papmma-,,,,,,,
10663,ἔκρινάν,κρίνω,κρίνω (aor. 3p),,,,,,,,,,,,,,,,,,,v3paia---,,,,,,,
10664,εἶπαν,εἶπον,εἶπον (aor. 3p),λέγω,,,,,,,,,,,,,,,,,,v3paia---,,,,,,,
10665,ἐπέζωσε,ἐπιζώννυμι,ἐπιζώω (ion. 3s aor.? “se sopravviveva”?),,,,,,,,,,,,,,,,,,,v3saia---,,,,,,,
10666,διαιτώμενον,διαιτάομαι (part. pres.),διαιτάω,,,,,,,,,,,,,,,,,,,v-sppema-,,,,,,,
10667,ἐτελέωσε,τελειόω,ἐπιτελέω (aor. 3s? “adempì”),,,,,,,,,,,,,,,,,,,v3saia---,,,,,,,
10668,ποιήσας,  ,ποιέω,ποιέω (part. aor. nom. m.),ποιέω (part. aor.),ποιέω (part.aor.nom.m.),,,,,,,,,,,,,,,,v-sapamn-,,,,,,,
10669,ἀγγελιηφόρους,ἀγγελιαφόρος,ἀγγελιοφόρος (ion. forma?),,,,,,,,,,,,,,,,,,,n-p---ma-,,,,,,,
10670,διατάξας,διατάσσω,διατάσσω (part. aor. nom. m.),διατάσσω (part. aor.),,,,,,,,,,,,,,,,,,v-sapamn-,,,,,,,
10671,ἦρχε,ἄρχω,ἄρχω (impf. 3s),ἄρχω (ion. impf. 3s),,,,,,,,,,,,,,,,,,v2srma---,v3siia---,,,,,,
10672,Μάγοι,Μάγος,Μάγος (voc. pl.),,,,,,,,,,,,,,,,,,,n-p---mn-,n-p---mv-,,,,,,
10673,θάρσεέ,θαρσέω,θαρσέω (imp.),,,,,,,,,,,,,,,,,,,v2spma---,,,,,,,
10674,ἄρξει,ἄρχω,ἄρχω (fut. 3s),,,,,,,,,,,,,,,,,,,v3sfia---,,,,,,,
10675,κεχώρηκε,χωρέω,χωρέω (perf. 3s),,,,,,,,,,,,,,,,,,,v3sria---,,,,,,,
10676,τά,  ,τίς,ὁ,ὅς,,,,,,,,,,,,,,,,,l-p---na-,l-p---nn-,p-p---na-,p-p---nn-,,,,
10677,ὀνειράτων,ὄνειρος,ὄνειρος/ὄνειρον,,,,,,,,,,,,,,,,,,,n-p---ng-,,,,,,,
10678,ἐχόμενα,ἔχω,ἔχω (part. pres. n. acc. pl.?),ἔχω (part. pres. n. pl. “collegati”),,,,,,,,,,,,,,,,,,v-pppenn-,,,,,,,
10679,ἀσθενὲς,ἀσθενής,ἀσθενής (n. sg. “debolmente”?),,,,,,,,,,,,,,,,,,,a-s---na-,,,,,,,
10680,ἔρχεται,ἔρχομαι,ἔρχομαι (3s),,,,,,,,,,,,,,,,,,,v3spie---,,,,,,,
10681,πλεῖστος,πλεῖστος,πολύς,πολύς (superl. “massimamente”),,,,,,,,,,,,,,,,,,a-s---mn-,,,,,,,
10682,ὀνομασθέντος,ὀνομάζω,ὀνομάζω (part. aor. pass.),,,,,,,,,,,,,,,,,,,v-sappmg-,,,,,,,
10683,ὄνειρον,  ,ὄνειρον,ὄνειρος,ὄνειρος/ὄνειρον,,,,,,,,,,,,,,,,,n-s---ma-,n-s---na-,n-s---nn-,,,,,
10684,τοῦτον,  ,οὗτος,οὗτος (acc.m.sg),οὗτος (m. acc. sg.),οὗτος (m.acc.sg.),,,,,,,,,,,,,,,,a-s---ma-,p-s---ma-,,,,,,
10685,συμβουλεύσατέ,συμβουλεύω,συμβουλεύω (imp. aor. 2p),,,,,,,,,,,,,,,,,,,v2pama---,,,,,,,
10686,περισκεψάμενοι,περί-σκέπτομαι,περί-σκοπέω/περισκέπτομαι (part. aor.),,,,,,,,,,,,,,,,,,,v-papemn-,,,,,,,
10687,ἀσφαλέστατα,ἀσφαλής,ἀσφαλής (superl. avv.),ἀσφαλής (superl. n. pl. “le cose più sicure”),,,,,,,,,,,,,,,,,,a-p---nas,a-p---nns,,,,,,
10688,αὐτοῖσι,  ,αὐτός,αὐτός (dat. pl.),,,,,,,,,,,,,,,,,,a-p---md-,p-p---md-,p-p---nd-,,,,,
10689,κατορθοῦσθαι,κατορθόω,κατορθόω (inf. pass. “riuscire bene”),,,,,,,,,,,,,,,,,,,v--pne---,,,,,,,
10690,ἀρχὴν,ἀρχή,ἀρχή (acc. “affatto”?),ἀρχήν,,,,,,,,,,,,,,,,,,d--------,n-s---fa-,,,,,,
10691,κείνως,ἐκεῖνος,,,,,,,,,,,,,,,,,,,,d--------,,,,,,,
10692,ἀλλοτριοῦται,ἀλλοτριόω,ἀλλοτριόω (3s “si rende estraneo”? Ion. pass.),,,,,,,,,,,,,,,,,,,v3spie---,,,,,,,
10693,περιιοῦσα,περίειμι1,περιέρχομαι (part. pres. f. “passando a lui”?),,,,,,,,,,,,,,,,,,,v-sppafn-,,,,,,,
10694,δουλούμεθά,δουλόομαι (1p pres.),δουλόω,,,,,,,,,,,,,,,,,,,v1ppie---,,,,,,,
10695,οὐδενὸς,μηδείς,οὐδείς,οὐδείς (gen. n. sg.),οὐδείς (gen. “di nulla”),οὐδείς (gen.),οὐδείς (gen.n.sg),,,,,,,,,,,,,,,a-s---mg-,a-s---ng-,p-s---mg-,p-s---ng-,,,,
10696,γινόμεθα,γίγνομαι,γίγνομαι (1p pres.),,,,,,,,,,,,,,,,,,,v1ppie---,,,,,,,
10697,Περσέων,  ,Πέρσης,Πέρσης (gen. pl.),Πέσης,,,,,,,,,,,,,,,,,n-p---mg-,,,,,,,
10698,ξεῖνοι,ξένος,ξένος1,,,,,,,,,,,,,,,,,,,n-p---mn-,,,,,,,
10699,ἐνεστεῶτος,ἐνίστημι,ἐνίστημι (part. perf. gen. “essendo tu attivamente re”?),,,,,,,,,,,,,,,,,,,v-srpamg-,,,,,,,
10700,πολιήτεω,πολίτης,πολιήτης? (ion. agg.? “della stessa città” – difficile),,,,,,,,,,,,,,,,,,,n-s---mg-,,,,,,,
10701,ἄρχομεν,ἄρχω,ἄρχω (1p),,,,,,,,,,,,,,,,,,,v1piia---,v1ppia---,,,,,,
10702,προοπτέον,  ,προοπτάω,προοπτέον (gerundivum? “dobbiamo aver cura di”),,,,,,,,,,,,,,,,,,v-sppann-,,,,,,,
10703,ἐνωρῶμεν,ἐνοράομαι/ἐνωρόω? (ion. 1p? “vedessimo”),ἐνοράω,,,,,,,,,,,,,,,,,,,v1piia---,,,,,,,
10704,προεφράζομεν,προφράζω,προφράζω (1p impf. ion. + ἄν? O condiz.?),,,,,,,,,,,,,,,,,,,v1piia---,,,,,,,
10705,ἀποσκήψαντος,ἀποσκήπτω,,,,,,,,,,,,,,,,,,,,v-sapamg-,,,,,,,
10706,θαρσέομεν,θαρσέω,θαρσέω (1p),,,,,,,,,,,,,,,,,,,v1ppia---,,,,,,,
10707,παρακελευόμεθα,παρακελεύομαι,παρακελεύομαι (1p pres.),,,,,,,,,,,,,,,,,,,v1ppie---,,,,,,,
10708,ἀπόπεμψαι,ἀποπέμπω,ἀποπέμπω (imp. aor. 2s),,,,,,,,,,,,,,,,,,,v2samm---,,,,,,,
10709,Πέρσας,  ,Πέρσης,Πέρσης (acc. pl.),,,,,,,,,,,,,,,,,,n-p---ma-,,,,,,,
10710,γειναμένους,γείνομαι,γεννάω (part. aor.),,,,,,,,,,,,,,,,,,,v-papmma-,,,,,,,
10711,ἐχάρη,χαίρω,χαίρω (aor. 3s),,,,,,,,,,,,,,,,,,,v3saip---,,,,,,,
10712,ἔλεγέ,λέγω (impf. 3s),λέγω (ion. impf.),λέγω2,λέγω3,,,,,,,,,,,,,,,,,v3siia---,,,,,,,
10713,ὀνείρου,  ,ὄνειρος,ὄνειρος (gen. m.),,,,,,,,,,,,,,,,,,n-s---mg-,,,,,,,
10714,τελέην,τέλειος,,,,,,,,,,,,,,,,,,,,a-s---fa-,,,,,,,
10715,ἠδίκεον,ἀδικέω,,,,,,,,,,,,,,,,,,,,v1siia---,,,,,,,
10716,περίεις,περί-εἶμι,περί-ἵημι,περιεῖμι (2s “sei sopravvissuto”),περιεῖμι (2s “sopravvivi grazie al tuo destino”?),,,,,,,,,,,,,,,,,v2siia---,v2spia---,,,,,,
10717,ἴθι,εἶμι,εἶμι (imp. 2s),ἴθι,ἴθι(->ἔρχομαι?) ,,,,,,,,,,,,,,,,,v2spma---,,,,,,,
10718,χαίρων,χαίρω,χαίρω (part. pres.),,,,,,,,,,,,,,,,,,,v-sppamn-,,,,,,,
10719,πέμψω,πέμπω,πέμπω (fut. 1s),,,,,,,,,,,,,,,,,,,v1sfia---,,,,,,,
10720,εὑρήσεις,εὑρίσκω,εὑρίσκω (fut. 2s),,,,,,,,,,,,,,,,,,,v2sfia---,,,,,,,
10721,εἶπας,εἶπον,εἶπον (aor. 2s),λέγω,φημί,,,,,,,,,,,,,,,,,v-saiamn-,v2saia---,,,,,,
10722,ἀποπέμπει,ἀποπέμπω,ἀποπέμπω (3s),,,,,,,,,,,,,,,,,,,v3spia---,,,,,,,
10723,νοστήσαντα,νοστέω,νοστέω (part. aor.),,,,,,,,,,,,,,,,,,,v-sapama-,,,,,,,
10724,Καμβύσεω,Καμβύσης,Καμβύσης (gen. “di Cambise”),Καμβύσης (gen. “figlio di Cambise”),Καμβύσης (gen.),,,,,,,,,,,,,,,,,n-s---mg-,,,,,,,
10725,γεινάμενοι,γείνομαι,γεννάω (part. aor.),,,,,,,,,,,,,,,,,,,v-papmmn-,,,,,,,
10726,δεξάμενοι,δέχομαι,δέχομαι (part. aor.),,,,,,,,,,,,,,,,,,,v-papmmn-,,,,,,,
10727,ἐπύθοντο,πυνθάνομαι,πυνθάνομαι (aor. 3p),πύθω,,,,,,,,,,,,,,,,,,v3paim---,v3piip---,,,,,,
10728,ἀσπάζοντο,ἀσπάζομαι,ἀσπάζομαι (ion. impf. 3p),,,,,,,,,,,,,,,,,,,v3piie---,,,,,,,
10729,ἐπιστάμενοι,ἐπίσταμαι,ἐπίσταμαι (part. pres.),ἐπιστάμαι,ἐφίστημι,,,,,,,,,,,,,,,,,v-pppemn-,,,,,,,
10730,ἱστόρεόν,ἱστορέω,ἱστορέω (ion. impf. 3p),,,,,,,,,,,,,,,,,,,v3piia---,,,,,,,
10731,περιγένοιτο,περίγιγνομαι (opt. 3s),περιγίγνομαι,,,,,,,,,,,,,,,,,,,v3saom---,,,,,,,
10732,ἡμαρτηκέναι,ἀμαρτάνω,ἁμαρτάνω,ἁμαρτάνω (perf. inf.),ἁμαρτέω,,,,,,,,,,,,,,,,,v--rna---,,,,,,,
10733,πάθην,πάθη,πάθος,,,,,,,,,,,,,,,,,,,n-s---fa-,n-s---na-,,,,,,
10734,ἀπὸ,  ,ἀπό,,,,,,,,,,,,,,,,,,,r--------,,,,,,,
10735,τραφῆναι,τρέφω,τρέφω (inf. aor. pass.),,,,,,,,,,,,,,,,,,,v--anp---,,,,,,,
10736,ἤιέ,εἶμι,ἔρχομαι (ion. impf. 3s),,,,,,,,,,,,,,,,,,,v3siia---,,,,,,,
10737,αἰνέων,αἰνέω,αἰνέω (part. pres.),,,,,,,,,,,,,,,,,,,v-sppamn-,,,,,,,
10738,Κυνώ,Κυνώ,Κυνώ (nome femm.),,,,,,,,,,,,,,,,,,,n-s---fn-,,,,,,,
10739,παραλαβόντες,παραλαμβάνω,παραλαμβάνω (part. aor.),,,,,,,,,,,,,,,,,,,v-papamn-,,,,,,,
10740,θειοτέρως,θειος (avv. compar. “più divinamente”?),θεῖος1,,,,,,,,,,,,,,,,,,,d-------c,,,,,,,
10741,δοκέῃ,δοκέω,δοκέω (subj. 3s),,,,,,,,,,,,,,,,,,,v2spse---,,,,,,,
10742,περιεῖναί,περίειμι1,περιεῖμι (inf. “sopravvivere”),,,,,,,,,,,,,,,,,,,v--pna---,,,,,,,
10743,κατέβαλον,καταβάλλω,καταβάλλω (aor. 3p),,,,,,,,,,,,,,,,,,,v3paia---,,,,,,,
10744,ἐξέθρεψε,ἐκτρέφω,ἐκτρέφω (aor. 3s),,,,,,,,,,,,,,,,,,,v3saia---,,,,,,,
10745,ἀνδρευμένῳ,ἀνδρεόω (part. aor. pass.? “divenuto uomo/valoroso”?),ἀνδρεύομαι,,,,,,,,,,,,,,,,,,,v-srpemd-,,,,,,,
