form,lemmi_originari,lemmi_dizionario,match_ratio
νησιώτας,['νησιώτης'],['νησιώτης'],4/4
Χίος,['Χίος'],['Χῖος'],0/1
προεξειλεγμένα,['προεκλέγω'],['προεκλέγω'],2/2
παρακρούσομαι,['παρακρούω'],['παρακρούω'],1/1
προσόνθ᾽,['πρόσειμι1'],['πρόσειμι'],0/1
νομίζετε,['νομίζω'],['νομίζω'],3/3
παρεθέντ᾽,['παρίημι'],['παρίημι'],1/1
προεθένθ᾽,['προίημι'],['προίημι'],1/1
Θετταλία,['Θεσσαλία'],['Θεσσαλία'],1/1
ἐκέχρηντ᾽,['χράω2'],['χράω'],0/1
ἀδείας,['ἄδεια'],['ἄδεια'],4/4
ἐλάττοσι,['ἐλάσσων'],['ἐλαχύς'],0/1
μέμφεσθαι,['μέμφομαι'],['μέμφομαι'],3/3
πηνίκ᾽,['πηνίκα'],['πηνίκα'],1/1
συνειλοχὼς,['συλλέγω'],['συλλέγω'],1/1
κατασκευήν,['κατασκευή'],['κατασκευή'],8/8
θέσεις,['θέσις'],['θέσις'],2/2
γενναίου,['γενναῖος'],['γενναῖος'],4/4
ἀγαθῷ,['ἀγαθός'],['ἀγαθός'],21/21
πέμπτος,['πέμπτος'],['πέμπτος'],3/3
ἀδικώτατε,['ἄδικος'],['ἄδικος'],1/1
νεανίας,['νεανίης'],['νεανίας'],0/3
λαμπροφωνότατος,['λαμπρόφωνος'],['λαμπρόφωνος'],1/1
βουλομένη,['βούλομαι'],['βούλομαι'],3/3
Καρυστίου,['Καρύστιος'],['Καρύστιος'],1/1
νικῶν,['νικάω'],['νικάω'],9/9
προαιρεῖσθαι,['προαιρέω'],['προαιρέω'],3/3
οὕσπερ,"['ὅς', 'ὅσπερ']",['ὅσπερ'],1/5
πατρίς,['πατρίς'],['πατρίς'],3/3
σαυτόν,['σαυτοῦ'],['σεαυτοῦ'],0/1
κράτιστα,"['κράτιστος', 'κρατύς']",['ἀγαθός'],0/20
ἀνεπιφθονώτατον,['ἀνεπίφθονος'],['ἀνεπίφθονος'],1/1
πρωτείου,['πρώτειος'],['πρώτειος'],1/1
διαφυλάττειν,['διαφυλάσσω'],['διαφυλάσσω'],10/10
εὐτυχήμασι,['εὐτύχημα'],['εὐτύχημα'],5/5
δεξιὰν,"['δεξιά', 'δεξιός']",['δεξιά'],4/7
εὐαγγελιζόμενος,['εὐαγγελίζομαι'],['εὐαγγελίζομαι'],1/1
πεφρικὼς,['φρίσσω'],['φρίσσω'],1/1
ἀνιάτως,['ἀνίατος'],['ἀνίατος'],1/1
δεινότητα,['δεινότης'],['δεινότης'],6/6
διομνύμενος,['διόμνυμι'],['διόμνυμι'],1/1
τάχισθ᾽,['τάχιστος'],['ταχύς'],0/1
τυμπανιστρίας,['τυμπανιστής'],['τυμπανίστρια'],0/1
εὑρήσεις,['εὑρίσκω'],['εὑρίσκω'],4/4
ταὔθ᾽,['ταὐτός'],['αὐτός'],0/1
ἀδικίαν,['ἀδικία'],['ἀδικία'],10/10
εὐθενούντων,['εὐθενέω'],['εὐθενέω'],1/1
διομνύμενοι,['διόμνυμι'],['διόμνυμι'],1/1
οἰκειοτάτῳ,['οἰκεῖος'],['οἰκεῖος'],1/1
ἀποδέξησθε,['ἀποδέχομαι'],['ἀποδέχομαι'],1/1
μετεῖχεν,['μετέχω'],['μετέχω'],2/2
εἰδῇς,['οἶδα'],['οἶδα'],3/3
πάτρας,['πάτρα'],['πάτρα'],1/1
μαρνάμενοι,['μάρναμαι'],['μάρναμαι'],1/1
Ἀΐδην,['Αἵδης'],['Αἵδης'],1/1
οὕνεκεν,['οὕνεκεν'],['οὕνεκα'],0/1
δουλοσύνης,"['δουλόσύνη', 'δουλοσύνη']",['δουλοσύνη'],1/3
ἀμφὶς,['ἀμφίς'],['ἀμφὶς'],0/2
κατορθοῦν,['κατορθόω'],['κατορθόω'],7/7
βιοτῇ,['βιοτή'],['βιοτή'],1/1
συμπασῶν,['σύμπας'],['σύμπας'],1/1
σχετλιώτερ᾽,['σχέτλιος'],['σχέτλιος'],1/1
προλεγόντων,['προλέγω1'],['προλέγω'],0/1
αἰσχροκερδίας,['αἰσχροκέρδεια'],['αἰσχροκέρδεια'],1/1
Κινέας,['Κινέης'],['Κινέας'],0/1
Εὐκαμπίδας,['Εὐκαμπίδης'],['Εὐκαμπίδης'],1/1
Φιλιάδου,['Φιλιάδας'],['Φιλιάδης'],0/1
λέγονθ᾽,['λέγω3'],['λέγω'],0/1
διακείμεν᾽,['διάκειμαι'],['διάκειμαι'],1/1
κανόνες,['κανών'],['κανών'],2/2
ἀνατετροφότες,['ἀνατρέφω'],"['ἀνατρέφω', 'ἀνατρέπω']",1/1
περιβοήτου,['περιβόητος'],['περιβόητος'],3/3
συστάσεως,['σύστασις'],['σύστασις'],6/6
τρυτάνη,['τρυτάνη'],['τρυτάνη'],1/1
πλίνθοις,"['πλίνθος', 'πλίνθον']",['πλίνθον'],1/2
βούλῃ,['βούλομαι'],['βούλομαι'],10/10
ἀμυνομένους,['ἀμύνω'],['ἀμύνω'],3/3
προὐβαλόμην,['προβάλλω'],['προβάλλω'],1/1
μεσογείας,['μεσόγεια'],['μεσόγεια'],1/1
προϊδέσθαι,['προεῖδον'],['προοράω'],0/4
Χερρόνησον,"['Χερρόνησος', 'Χερσόνησος', 'χερρόνησος']",['Χερσόνησος'],8/13
ἐνέλειπε,['ἐλλείπω'],['ἐλλείπω'],2/2
ἅσπερ,['ὅς'],['ὅσπερ'],0/1
ἀναρρηθέντος,['ἀναρρέω'],['ἀναλέγω'],0/1
ἀντεῖπεν,['ἀντεῖπον'],['ἀντιλέγω'],0/7
Λεοντίδος,"['Λεοντίς', 'λεοντίς']",['λεοντίς'],1/2
διαρραγῶσί,['διαρρήγνυμι'],['διαρρήγνυμι'],1/1
σίτῳ,['σῖτος'],['σῖτος'],7/7
χρώμεθ᾽,['χράω2'],['χράω'],0/1
μηχανήματ᾽,['μηχάνημα'],['μηχάνημα'],1/1
βοηθήσας,['βοηθέω'],['βοηθέω'],3/3
σώσας,['σώζω'],['σῴζω'],0/2
ἀφειδῶς,['ἀφειδής'],['ἀφειδής'],2/2
πεπείρασθε,['πειράζω'],"['πειράω', 'πειράζω']",1/1
εὐωνοτέροις,['εὔωνος'],['εὔωνος'],1/1
προῄρηνται,['προαιρέω'],['προαιρέω'],1/1
Περινθίων,['Περίνθιος'],['Περίνθιος'],5/5
Βοσπορίχω,['Βοσπορίχας'],['Βοσπόριχος'],0/1
ἁλίᾳ,['ἁλία'],['ἁλία'],1/1
βωλᾶς,['βουλή'],['βουλή'],1/1
δᾶμος,['δῆμος'],['δῆμος'],3/3
Ἀθαναίων,['Ἀθηναῖος'],['Ἀθηναῖος'],4/4
Περινθίοις,['Περίνθιος'],['Περίνθιος'],1/1
τῶ,"['ὁ', 'ὃς']",['ὁ'],5/6
δαίοντος,['δαίω1'],['δαίω'],0/1
τάφως,['τάφος1'],['τάφος'],0/1
δάμῳ,['δῆμος'],['δῆμος'],2/2
Ἀθαναίοις,['Ἀθήναιον'],['Ἀθηναῖος'],0/1
πόθοδον,['πόθοδος'],['πόθοδος'],1/1
ποτὶ,['πρός'],['πρός'],2/2
βωλὰν,['βουλή'],['βουλή'],1/1
δᾶμον,['δῆμος'],['δῆμος'],2/2
πράτοις,['πρότερος'],['πρᾶτος'],0/1
Βοσπορείῳ,['βοσπορεῖον'],['βοσπορεῖον'],1/1
δάμω,['δῆμος'],['δῆμος'],1/1
θεαρίας,['θεωρία'],['θεωρία'],1/1
παναγύριας,['πανήγυρις'],['πανήγυρις'],1/1
Νέμεα,['Νέμειος'],['Νέμεα'],0/1
ἀνακαρῦξαι,['ἀνακηρύσσω'],['ἀνακηρύσσω'],1/1
ἁμέων,['ἁμός1'],['ἐμός'],0/1
Χερρονήσῳ,['Χερσόνησος'],['Χερσόνησος'],2/2
Χερρονησιτῶν,"['Χερσονησίτης', 'χερσονησίτης']",['Χερσονησίτης'],1/2
Σηστόν,['Σηστός'],['Σηστός'],6/6
Δήμου,['Δῆμος'],['δῆμος'],0/2
Χερρονησίταις,['Χερσονησίτης'],['Χερσονησίτης'],1/1
ἀποδοὺς,['ἀποδίδωμι'],['ἀποδίδωμι'],8/8
τεταγμένος,['τάσσω'],['τάσσω'],13/13
πυκνὶ,['πνύξ'],['πνύξ'],1/1
πολιορκῶν,['πολιορκέω'],['πολιορκέω'],5/5
σῴζοντες,['σώζω'],['σῴζω'],0/2
κέχρημαι,['χράω2'],['χράω'],0/1
κατεχόντων,['κατέχω'],['κατέχω'],8/8
Τάναγραν,['Τάναγρα'],['Τάναγρα'],4/4
εὐεργετῶν,"['εὐεργέτης', 'εὐεργετέω']",['εὐεργέτης'],2/4
καθείρξας,['κατείργω'],['κατέργω'],0/1
διδῷ,['δίδωμι'],['δίδωμι'],6/6
ἐδείξατ᾽,['δείκνυμι'],['δείκνυμι'],1/1
σφετεριζομένων,['σφετερίζω'],['σφετερίζω'],1/1
προσγράψαντα,['προσγράφω'],['προσγράφω'],1/1
ἀναρρήσεως,['ἀνάρρησις'],['ἀνάρρησις'],1/1
δεικτέον,['δεικτέος'],['δεικτέος'],1/1
αὔθ᾽,['αὐτός'],['αὐτός'],1/1
ἐμπέσω,['ἐμπίτνω'],['ἐμπίπτω'],0/1
στασιαστικῶς,['στασιαστικός'],['στασιαστικός'],1/1
ἀγνοίᾳ,['ἄγνοια'],['ἄγνοια'],2/2
τάξας,['τάσσω'],['τάσσω'],4/4
Δολόπων,['Δόλοψ'],['Δόλοπες'],0/2
ἐβούλετ᾽,['βούλομαι'],['βούλομαι'],1/1
συναιτίας,['συναίτιος'],['συναίτιος'],1/1
ἀπηλλάχασιν,['ἀπαλλαξείω'],['ἀπαλλάσσω'],0/1
ἐκράτησε,['κρατέω'],['κρατέω'],10/10
ἀπιὼν,"['ἄπειμι1', 'ἀπέρχομαι', 'ἄπειμι2']",['ἄπειμι'],0/11
ἐνδοξόταθ᾽,['ἔνδοξος'],['ἔνδοξος'],1/1
συνῄδειν,['σύνοιδα'],['σύνοιδα'],1/1
παρελέσθαι,['παραιρέω'],['παραιρέω'],1/1
ἀδόξῳ,['ἄδοξος'],['ἄδοξος'],1/1
ἐμβαλέσθαι,['ἐμβάλλω'],['ἐμβάλλω'],4/4
αὐτεπαγγέλτους,['αὐτεπάγγελτος'],['αὐτεπάγγελτος'],1/1
ἐθελοντὰς,"['ἐθέλω', 'ἐθελοντής']",['ἐθελοντής'],1/2
ἐναντιοῦσθαι,"['ἐν-ἀντιόομαι', 'ἐναντιόομαι']",['ἐναντιόομαι'],4/6
Δορίσκον,['Δορίσκος'],['Δορίσκος'],3/3
πόρθησιν,['πόρθησις'],['πόρθησις'],1/1
λέγοντ᾽,['λέγω3'],['λέγω'],0/1
Ἀριστοφῶντος,"['Ἀριστοφών', 'Ἀριστοφῶν']",['Ἀριστοφῶν'],1/3
βουληθῇς,['βούλομαι'],['βούλομαι'],1/1
σφετεριζόμενος,['σφετερίζω'],['σφετερίζω'],1/1
Πορθμόν,['πορθμός'],['πορθμός'],1/1
Μυσῶν,"['Μυσός', 'μυσή', 'μυσός']",['Μυσός'],2/4
Νεοκλέους,['Νεοκλῆς'],['Νεοκλέης'],0/2
καταγήοχεν,['κατάγω'],['κατάγω'],1/1
Ἀπημάντου,['Ἀπημάντος'],['Ἀπήμαντος'],0/1
Κολλυτεὺς,['Κολλυτεὺς'],['Κολλυτεύς'],0/1
δεικνύω,['δείκνυμι'],['δείκνυμι'],1/1
πρεσβευταί,['πρεσβευτής'],['πρεσβευτής'],3/3
φαίνεσθε,['φαίνω'],['φαίνω'],1/1
εὐηθείᾳ,['εὐήθεια'],['εὐήθεια'],1/1
Σηλυμβριανοῖς,['Σηλυμβριανός'],['Σηλυμβριανός'],2/2
καταχθέντα,['κατάγω'],['κατάγω'],1/1
προεστηκόσιν,['προίστημι'],['προίστημι'],2/2
κακοήθως,['κακοήθης'],['κακοήθης'],2/2
παρεδύετο,['παραδύομαι'],['παραδύνω'],0/1
προὐξένεις,['προξενέω'],['προξενέω'],1/1
ἀπήλασε,['ἀπελαύνω'],['ἀπελαύνω'],2/2
βοῶ,['βοόω'],['βοάω'],0/1
εἰωθότων,['ἔθω'],['ἔθω'],5/5
θεάσησθε,['θεάω'],['θεάομαι'],0/1
φοβερόν,['φοβερός'],['φοβερός'],3/3
βούλοισθε,['βούλομαι'],['βούλομαι'],1/1
χειμαδίῳ,['χειμάδιον'],['χειμάδιον'],1/1
χρήσεται,['χράω2'],['χράω'],0/5
ταμίαι,"['τάμιας', 'ταμία']","['ταμία', 'ταμίας']",1/2
παρελθόντα,['παρέρχομαι'],['παρέρχομαι'],3/3
χρήματʼ,['χρήμα'],['χρῆμα'],0/3
Μαραθῶνʼ,['Μαραθῶν'],['Μαραθών'],0/1
καθήκοντος,['καθήκω'],['καθήκω'],6/6
λάχωσιν,['λαγχάνω'],['λαγχάνω'],1/1
οὐδʼ,"['οὐδέ', 'οὐδʼ']",['οὐδέ'],56/76
οἶδʼ,['οἶδα'],['οἶδα'],15/15
ποθʼ,"['πότε', 'ποτέ']","['ποθί', 'ποτέ']",1/6
ἐβούλετʼ,['βούλομαι'],['βούλομαι'],2/2
πρόοιδεν,['πρόοιδα'],['πρόοιδα'],1/1
γυμνασίαρχος,['γυμνασιάρχης'],['γυμνασιάρχης'],1/1
προαπόλωλεν,['προαπόλλυμαι'],['προαπόλλυμι'],0/1
βραδυτῆτα,['βραδυτής'],['βραδυτής'],3/3
πράγμαθʼ,['πράγμα'],['πρᾶγμα'],0/3
πώποτʼ,['πώποτε'],['πώποτε'],4/4
ἀπολείπετε,['ἀπολιμπάνω'],['ἀπολείπω'],0/1
συμπαραθεῖτʼ,['συμπαραθέω'],"['συμπαραθέω', 'συμπαρατίθημι']",1/1
οὐκέτʼ,['οὐκέτε'],['οὐκέτι'],0/3
ἀποχρῆν,['ἀποχράω'],['ἀποχράω'],3/3
αἴσχιστʼ,['αἰσχρός'],['αἰσχρός'],1/1
ἐκκαλέσαιθʼ,['ἐκκαλέω'],['ἐκκαλέω'],1/1
παντάπασιν,['παντάπασι'],['παντάπασι'],17/17
ἀπεγνώκατε,['ἀπογιγνώσκω'],['ἀπογιγνώσκω'],1/1
ἀπόντων,['ἄπειμι1'],"['ἀπών', 'ἄπειμι']",0/4
προσορμιούμεθʼ,['προσορμίζομαι'],['προσορμίζω'],0/1
φίλα,['φῖλος'],['φίλη'],0/1
πράγματʼ,"['πρᾶγμα', 'πράγμα']",['πρᾶγμα'],6/8
ἀθλίων,['ἄθλιος'],['ἄθλιος'],1/1
ἀπομίσθων,['ἀπόμισθος'],['ἀπόμισθος'],1/1
ψευδόμενοι,['ψεύδω'],['ψεύδω'],3/3
οἴκαδʼ,"['οἴκαδε', 'οἴκαδέ']",['οἴκαδε'],1/2
ἐλθόντας,['ἔρχομαι'],['ἔρχομαι'],4/4
κατάλυσιν,['κατάλυσις'],['κατάλυσις'],9/9
πλάττοντες,"['πλήσσω', 'πλάσσω']",['πλάσσω'],2/3
Δίʼ,"['ζέυς', 'Ζεύς']",['Ζεύς'],6/39
δέοντʼ,['δεῖ'],['δέω'],0/1
ποτʼ,['πότε'],['ποτέ'],0/19
οὔτʼ,['οὔτε'],['οὔτε'],20/20
πεπεισμένος,['πείθω'],['πείθω'],13/13
θʼ,['τέ'],['τε'],0/3
βέλτιστʼ,['ἀγαθός'],['ἀγαθός'],3/3
συνοῖσον,['συμφέρω'],['συμφέρω'],1/1
ἀδήλοις,['ἄδηλος'],['ἄδηλος'],3/3
ἐθελήσητε,['ἐθέλω'],['θέλω'],0/2
κατερρᾳθυμημένα,['καταρρᾳθυμέω'],['καταρρᾳθυμέω'],1/1
πεπηγέναι,['πήγνυμι'],['πήγνυμι'],3/3
δέονθʼ,['δέον'],['δέω'],0/1
προελήλυθʼ,['προέρχομαι'],['προέρχομαι'],1/1
περιστοιχίζεται,['περιστοιχίζομαι'],['περιστοιχίζω'],0/1
βούλεσθʼ,['βούλομαι'],['βούλομαι'],1/1
εἰπέ,['εἶπον'],['λέγω'],0/9
ἀθυμητέον,['ἀθυμητέον'],['ἀθυμητέος'],0/1
ἄνπερ,['ἐάν'],['ἐάν'],4/4
ἀπαλλάξαι,"['ἀπαλλαξείω', 'ἀπαλλάσσω']",['ἀπαλλάσσω'],2/4
δεηθεὶς,"['δέω2', 'δέω']",['δέω'],4/11
μηδʼ,"['μηδέ', 'μηδʼ']",['μηδέ'],12/19
πόση,['πόσος'],['πόσος'],3/3
περιγενώμεθα,['περιγίγνομαι'],['περιγίγνομαι'],1/1
πλευστέον,['πλευστέος'],['πλευστέος'],1/1
οὔτοι,['οὔτοι'],['οὔτοι'],3/3
εἴσεται,"['οἶδα', 'εἶμι']",['οἶδα'],3/4
δέοντος,"['δεῖ', 'δέω1', 'δέω2']",['δέω'],0/11
μέγιστʼ,['μέγας'],['μέγας'],2/2
οὐλάχιστον,['ἐλάχιστος'],['ἐλαχύς'],0/1
πεζούς,['πεζός'],['πεζός'],10/10
ναυτικόν,"['ναυτικόν', 'ναυτικός']",['ναυτικόν'],5/12
ταχειῶν,['ταχύς'],['ταχύς'],2/2
τροφή,['τροφή'],['τροφή'],2/2
συστρατεύεσθαι,['συστρατεύομαι'],['συστρατεύω'],0/3
διδόντα,['δίδωμι'],['δίδωμι'],4/4
φυλάρχους,['φύλαρχος'],['φύλαρχος'],3/3
πολύς,['πολύς'],['πολύς'],7/7
πηλίνους,['πήλινος'],['πήλινος'],1/1
μεμφόμενος,['μέμφομαι'],['μέμφομαι'],4/4
μναῖ,['μνᾶ'],['μνᾶ'],3/3
διακοσίοις,['διακόσιοι'],['διακόσιοι'],7/7
διαπράττεται,['διαπράσσω'],['διαπράσσω'],2/2
χειμῶνʼ,['χειμῶν'],['χειμών'],0/1
δυναίμεθʼ,"['δύνομαι', 'δύναμαι']",['δύναμαι'],1/2
γράφοντες,['γράφω'],['γράφω'],2/2
παραγένηται,['παραγίγνομαι'],['παραγίγνομαι'],1/1
ἀκοὴν,['ἀκοή'],['ἀκοή'],4/4
προσστάντας,['προσίστημι'],['προσίστημι'],1/1
παρεγένετό,['παραγίγνομαι'],['παραγίγνομαι'],1/1
ἀντίγραφά,"['ἀντίγραφος', 'ἀντίγραφον']",['ἀντίγραφος'],2/3
συμμέμνησθέ,['συμμιμνήσκομαι'],['συμμιμνήσκομαι'],1/1
ἀποκρίναισθ’,['ἀποκρίνω'],['ἀποκρίνω'],1/1
προὐπηλάκισε,['προπηλακίζω'],['προπηλακίζω'],1/1
ἄρρενες,['ἄρσην'],['ἄρσην'],1/1
φαρμάκων,"['φάρμακον', 'φάρμακὀν']",['φάρμακον'],3/4
φαρμακῶντα,['φαρμακάω'],['φαρμακάω'],1/1
πειθόμενον,['πείθω'],['πείθω'],5/5
σκέψησθε,"['σκοπέω', 'σκέπτομαι']",['σκέπτομαι'],1/2
σκευωρουμένους,['σκευωρέομαι'],['σκευωρέομαι'],1/1
παρέλαθεν,['παραλανθάνω'],['παραλανθάνω'],1/1
μάρτυς,['μάρτυς'],['μάρτυς'],3/3
παρέχονται,['παρέχω'],['παρέχω'],4/4
δίετες,['διέτης'],['διετής'],0/2
τριηραρχῶν,['τριηραρχέω'],['τριηραρχέω'],12/12
ἐγγυησάμενος,['ἐνεγγυάω'],['ἐγγυάω'],0/1
ἀστῶν,"['ἀστή', 'ἀστός']",['ἀστή'],1/9
ἀνεπίδικον,"['ἀνεπιδικέω', 'ἀνεπίδικος']",['ἀνεπίδικος'],1/2
εἰδείηθ’,['οἶδα'],['οἶδα'],1/1
λαχόντας,['λαγχάνω'],['λαγχάνω'],3/3
τονδὶ,['ὅδε'],['ὅδε'],1/1
ἀποθάνωσιν,['ἀποθνῄσκω'],['ἀποθνῄσκω'],2/2
συνιστῇ,['συνιστάω'],"['συνιστάνω', 'συνίστημι']",0/1
καταλύσει,"['κατάλυσις', 'καταλύω']","['καταλύω', 'κατάλυσις']",6/6
ποίους,['ποῖος'],['ποῖος'],5/5
εἰδῶσι,['οἶδα'],['οἶδα'],1/1
κατασεσημασμένας,['κατασημαίνω'],['κατασημαίνομαι'],0/1
Κηδῶν,['Κηδός'],['Κηδαί'],0/1
παραδιδόναι,['παραδίδωμι'],['παραδίδωμι'],14/14
διεκείμην,['διάκειμαι'],['διάκειμαι'],4/4
εἰσπράττειν,['εἰσπράσσω'],['εἰσπράσσω'],3/3
διαψηφισαμένων,['διαψηφίζω'],['διαψηφίζω'],1/1
παραδοίη,"['παραδίδωμι', 'παραδέω']",['παραδίδωμι'],2/3
φασκόντων,['φάσκω'],['φάσκω'],5/5
ἐβούλευον,['βουλεύω'],['βουλεύω'],3/3
Ἀγαθοκλέους,['Ἀγαθοκλῆς'],['Ἀγάθοκλεης'],0/2
φράζειν,['φράζω'],['φράζω'],4/4
παρακαθημένοις,"['παρά-κάθημαι', 'παρακάθημαι']",['παρακάθημαι'],1/2
καταπλεύσας,['καταπλέω'],['καταπλέω'],7/7
προσεκαλεσάμην,['προσκαλέω'],['προσκαλέω'],3/3
αἰκείας,['αἰκία'],['αἰκία'],5/5
ἀντιπροσκαλεσαμένου,['ἀντιπροσκαλέομαι'],['ἀντιπροσκαλέω'],0/1
ἐθέλοι,['ἐθέλω'],['θέλω'],0/5
αἴκεια,['αἰκία'],['αἰκία'],3/3
διπλῆν,['διπλόος'],['διπλόος'],8/8
παρασχόμενοι,['παρέχω'],['παρέχω'],3/3
λῃτουργοῦντα,['λειτουργέω'],['λειτουργέω'],1/1
ἀνάγνωθί,['ἀναγιγνώσκω'],['ἀναγιγνώσκω'],7/7
πέπονθα,['πάσχω'],['πάσχω'],2/2
ἐδεήθην,['δέω2'],['δέω'],0/4
κατεχρησάμην,['καταχράω'],['καταχράω'],1/1
ἐδεόμην,"['δέω2', 'δέομαι', 'δέω']",['δέω'],1/3
ἀκάκως,['ἄκακος'],['ἄκακος'],4/4
ἀποκρίνεται,['ἀποκρίνω'],['ἀποκρίνω'],6/6
ἀποκριναμένου,['ἀποκρίνω'],['ἀποκρίνω'],13/13
νεωτερίσαντος,['νεωτερίζω'],['νεωτερίζω'],1/1
καταδίκην,['δίκη'],['καταδίκη'],0/4
ἀπολαβεῖν,['ἀπολαμβάνω'],['ἀπολαμβάνω'],9/9
ἄλλῃ,"['ἄλλῃ', 'ἄλλος']",['ἄλλος'],18/30
ἀπεχώρησαν,['ἀποχωρέω'],['ἀποχωρέω'],17/17
ἐκβαλόντες,['ἐκβάλλω'],['ἐκβάλλω'],9/9
φέρουσαν,['φέρω'],['φέρω'],13/13
Εὔεργός,['Εὔεργος'],['Εὔεργος'],1/1
προὐκαλέσατο,['προκαλέω'],['προκαλέω'],2/2
παρόν,"['πάρειμι', 'πάρειμι1']",['πάρειμι'],1/10
κατασκευὴν,['κατασκευή'],['κατασκευή'],13/13
πρεσβυτέρα,['πρέσβυς'],['πρέσβυς'],2/2
βουλομένῃ,['βούλομαι'],['βούλομαι'],1/1
πύργῳ,['πύργος'],['πύργος'],5/5
λεγούσης,['λέγω3'],['λέγω'],0/2
τραπέζῃ,['τράπεζα'],['τράπεζα'],9/9
ἄπιτε,['ἄπειμι2'],['ἄπειμι'],0/1
λαβούσης,['λαμβάνω'],['λαμβάνω'],7/7
Εὔεργος,['Εὔεργος'],['Εὔεργος'],3/3
χεῖρε,['χείρ'],['χείρ'],6/6
στῆθος,['στῆθος'],['στῆθος'],2/2
τύπτοντες,['τύπτω'],['τύπτω'],5/5
γραῦν,['γραῦς'],['γραῦς'],4/4
ἐκαλίστρουν,['καλιστρέω'],['καλιστρέω'],1/1
ἐκέλευσαν,['κελεύω'],['κελεύω'],5/5
Εὔεργον,['Εὔεργος'],['Εὔεργος'],2/2
ἀπαντήσας,['ἀπαντάω'],['ἀπαντάω'],7/7
καταλαμβάνω,['καταλαμβάνω'],['καταλαμβάνω'],2/2
διέκειτο,['διάκειμαι'],['διάκειμαι'],12/12
ἐμποιῶν,['ἐμποιόω'],['ἐμποιέω'],0/1
κατηνέχθη,['καταφέρω'],['καταφέρω'],1/1
αὐθημερὸν,"['αὐθημερόν', 'αὐθήμερος']",['αὐθήμερος'],1/2
ἀρρωστοῦσαν,['ἀρρωστέω'],['ἀρρωστέω'],1/1
εἰδείην,['οἶδα'],['οἶδα'],3/3
διομεῖ,['διόμνυμι'],['διόμνυμι'],1/1
ἀφοσιωσάμενος,['ἀφοσιόω'],['ἀφοσιόω'],1/1
πῃ,['πη'],['πη'],8/8
ἀνεψιαδῶν,['ἀνεψιάδης'],['ἀνεψιάδης'],1/1
ψεύσασθαι,['ψεύδω'],['ψεύδω'],2/2
καταφανῆ,['καταφανής'],['καταφανής'],2/2
ἅσμενον,['ἄσμενος'],['ἅσμενος'],0/1
παρεδίδου,['παραδίδωμι'],['παραδίδωμι'],8/8
ἀπέλαβε,['ἀπολαμβάνω'],['ἀπολαμβάνω'],3/3
στρατηγὶς,['στρατηγίς'],['στρατηγίς'],1/1
οἷσπερ,"['ὅσπερ', 'ὅς']",['ὅσπερ'],1/4
μετελθεῖν,['μετέρχομαι'],['μετέρχομαι'],7/7
ἀπόντος,"['ἄπειμι', 'ἄπειμι1']",['ἄπειμι'],1/2
ἀνῆλθον,['ἀνέρχομαι'],['ἀνέρχομαι'],1/1
πρᾶος,['πρᾶος'],['πρᾷος'],0/1
ἱκανόν,['ἱκανός'],['ἱκανός'],6/6
Οἰνῇδα,['Οἰνείς'],['Οἰνηίς'],0/1
κομίσας,['κομίζω'],['κομίζω'],7/7
προσίστανται,['προσίστημι'],['προσίστημι'],1/1
ἐθέλοιμι,['ἐθέλω'],['θέλω'],0/1
φὴς,['φημί'],['φημί'],3/3
ἐθέλεις,['ἐθέλω'],['θέλω'],0/2
ναυσίν,['ναῦς'],['ναῦς'],11/11
σᾶ,['σῶς'],['σῶς'],2/2
γεγενημένου,['γίγνομαι'],['γίγνομαι'],7/7
τριηράρχοις,['τριήραρχος'],['τριήραρχος'],8/8
παραλαβοῦσα,['παραλαμβάνω'],['παραλαμβάνω'],5/5
πρόσθε,['πρόσθεν'],['πρόσθεν'],4/4
νεωρίου,['νεώριον'],['νεώριον'],2/2
πολλή,['πολύς'],['πολύς'],4/4
ἀπῄτουν,['ἀπαιτέω'],['ἀπαίτεω'],0/6
προσεκλήθη,['προσκαλέω'],['προσκαλέω'],1/1
εἴασεν,"['ἐάω', 'εἰάζω']",['ἐάω'],4/5
διαδόχῳ,['διάδοχος'],['διάδοχος'],3/3
ἀγνῶτές,['ἀγνώς'],['ἀγνώς'],1/1
καταχρήσεσθαι,['καταχράω'],['καταχράω'],1/1
εἴσπραξιν,['εἴσπραξις'],['εἴσπραξις'],1/1
Ἀφαρέα,['Ἀφαρεύς'],['Ἀφαρεύς'],1/1
ἐλεγχθήσεται,['ἐλέγχω'],['ἐλέγχω'],1/1
πεπλησιακότων,['πλησιάζω'],['πλησιάζω'],1/1
προσῄειν,['πρόσειμι'],['πρόσειμι'],1/1
προσῇσαν,"['πρόσειμι', 'πρόσειμι1']",['πρόσειμι'],1/5
τριήραρχοι,['τριήραρχος'],['τριήραρχος'],5/5
Εὐέργῳ,['Εὔεργος'],['Εὔεργος'],1/1
Εὐέργου,['Εὔεργος'],['Εὔεργος'],1/1
οἰκοίη,"['οἰκέω', 'ἔοικα']",['οἰκέω'],1/2
ἐδείκνυον,['δείκνυμι'],['δείκνυμι'],1/1
ἐνέχυρόν,['ἐνέχυρον'],['ἐνέχυρον'],1/1
λάβοιμι,['λαμβάνω'],['λαμβάνω'],2/2
παίει,"['παίω1', 'παίω']",['παίω'],1/4
πὺξ,['πύξ'],['πύξ'],2/2
